,stdWeights,seed,class,"<C>, delay=-14",No-Activity,Fix,Cyclic,Chaotic,Non-Stationary,"<C>, delay=-10","<C>, delay=-6","<C>, delay=-2"
14,0.01,1400,global,7.241743769904757e-17,1.0,0.0,0.0,0.0,0.0,2.892186513432288e-16,-1.4596947249996226e-16,1.2150304965675937e-16
15,0.01,1500,global,1.1038246209120764e-16,1.0,0.0,0.0,0.0,0.0,-1.4134506938700382e-16,1.4370745664200504e-16,6.228362887387794e-17
16,0.01,1600,global,-9.023245029074772e-17,1.0,0.0,0.0,0.0,0.0,-1.4134506938700382e-16,-1.3451137754041432e-16,1.1283871261856127e-16
17,0.01,1700,global,-6.008227791670227e-17,1.0,0.0,0.0,0.0,0.0,3.767403159361392e-17,-3.8197830219762775e-18,2.2427796224761336e-16
18,0.01,1800,global,-7.870393571556559e-17,1.0,0.0,0.0,0.0,0.0,6.623114264923256e-17,-1.4303891629567495e-16,1.0796174139910434e-16
19,0.01,1900,global,3.040405284807181e-17,1.0,0.0,0.0,0.0,0.0,-7.862645895449424e-17,-1.1623322107449923e-16,-1.331506750050438e-16
20,0.01,2000,global,-1.6520945526027164e-16,1.0,0.0,0.0,0.0,0.0,2.6957875217366902e-17,-7.124647439808299e-17,2.7195466648150776e-16
21,0.01,2100,global,-1.9020546184466755e-16,1.0,0.0,0.0,0.0,0.0,1.1204041062947045e-17,-1.520678603106832e-16,5.686870284864974e-17
22,0.01,2200,global,-1.2284847471913963e-16,1.0,0.0,0.0,0.0,0.0,2.347979534533543e-16,1.2470804451590406e-16,4.874232061622291e-17
23,0.01,2300,global,-1.1038246209120764e-16,1.0,0.0,0.0,0.0,0.0,1.1320362179364677e-17,3.0548002715912346e-17,8.097130604932826e-17
24,0.01,2400,global,-4.7667839384126745e-17,1.0,0.0,0.0,0.0,0.0,-1.5449013667655203e-16,-2.0347924714975263e-16,1.9001937785369355e-16
