,stdWeights,seed,class,"<C>, delay=-14",No-Activity,Fix,Cyclic,Chaotic,Non-Stationary,"<C>, delay=-10","<C>, delay=-6","<C>, delay=-2"
17,0.08,1700,global,-9.160518523096128e-17,0.0,1.0,0.0,0.0,0.0,1.5385461487027822e-16,1.3184297397773862e-16,4.907606184624693e-17
18,0.08,1800,global,-1.9244634029836563e-16,0.0,1.0,0.0,0.0,0.0,-3.2715049020425765e-16,-8.104980742259325e-17,1.0040803315069633e-16
19,0.08,1900,global,-2.1308092500988727e-16,0.0,1.0,0.0,0.0,0.0,1.856868165434078e-16,-8.298591035962758e-17,3.3481851879792725e-16
20,0.08,2000,global,7.540527563731174e-17,0.0,1.0,0.0,0.0,0.0,2.5998587958012544e-16,1.4303511640278874e-16,5.496165354473988e-17
21,0.08,2100,global,-1.221058027845877e-16,0.0,1.0,0.0,0.0,0.0,-6.278358714947248e-17,5.172696091306866e-17,2.7606854616090243e-16
22,0.08,2200,global,1.207760887438085e-16,0.0,1.0,0.0,0.0,0.0,3.767403159361392e-17,1.6305050846188294e-16,1.4738394149240517e-16
23,0.08,2300,global,-2.880870655750196e-18,0.0,1.0,0.0,0.0,0.0,-1.5449013667655203e-16,-1.2523873990003226e-16,2.3464132663490004e-16
24,0.08,2400,global,2.063458471152172e-17,0.0,1.0,0.0,0.0,0.0,2.594702650452955e-16,-1.4066931692367883e-16,1.69707415467211e-16
25,0.08,2500,global,1.5787387007959662e-16,0.0,1.0,0.0,0.0,0.0,6.768022515896217e-17,3.38359549291238e-17,2.498034862314248e-16
26,0.08,2600,global,-1.7304659422621377e-17,0.0,1.0,0.0,0.0,0.0,1.1320362179364677e-17,1.0026966020141812e-16,-1.32660011026347e-16
27,0.08,2700,global,-2.7775175164345486e-17,0.0,1.0,0.0,0.0,0.0,1.0549574290357342e-16,1.2105386929818098e-16,-3.400827847140179e-17
28,0.08,2800,global,-2.592382309853217e-17,0.0,1.0,0.0,0.0,0.0,-3.256603210350657e-16,-9.53909499528414e-17,-1.0125993640125029e-16
29,0.08,2900,global,4.6553909935639167e-17,0.0,1.0,0.0,0.0,0.0,3.077474650690129e-16,1.3242620372319042e-16,7.582493713153298e-17
30,0.08,3000,global,-3.70977813357881e-17,0.0,1.0,0.0,0.0,0.0,-4.521447420663967e-17,6.730057752041117e-17,1.8589900601867712e-16
31,0.08,3100,global,1.250893531728377e-16,0.0,1.0,0.0,0.0,0.0,9.217742204545144e-17,-9.99010626608842e-19,5.686870284864974e-17
32,0.08,3200,global,1.578761016303741e-17,0.0,1.0,0.0,0.0,0.0,1.0561206401999104e-16,3.461359458972629e-17,5.686870284864974e-17
33,0.08,3300,global,-4.868026839751698e-17,0.0,1.0,0.0,0.0,0.0,2.4638683037486638e-17,1.2735358345645858e-16,-1.9277384834263136e-16
34,0.08,3400,global,-4.863960397926684e-17,0.0,1.0,0.0,0.0,0.0,-2.0325592948624062e-16,-1.2780800841733076e-16,-8.364772678618699e-18
35,0.08,3500,global,-5.715086546685789e-18,0.0,1.0,0.0,0.0,0.0,-6.452028350904622e-17,-1.1623322107449923e-16,2.8364266616108726e-16
36,0.08,3600,global,-5.3587594096647626e-17,0.0,1.0,0.0,0.0,0.0,5.610205571218249e-17,-1.4596947249996226e-16,1.6653565748761652e-16
37,0.08,3700,global,-3.007740524307622e-17,0.0,1.0,0.0,0.0,0.0,1.3476728837214927e-16,2.3675936304269176e-17,1.3143648561764245e-17
38,0.08,3800,global,1.5441297005490552e-16,0.0,1.0,0.0,0.0,0.0,-1.9518994680710743e-16,1.5243644666333446e-16,2.0993515866064831e-16
39,0.08,3900,global,-1.9244634029836563e-16,0.0,1.0,0.0,0.0,0.0,-1.304743926440252e-16,-3.940293142462292e-19,2.610289668922538e-16
40,0.08,4000,global,-2.204730843516142e-17,0.0,1.0,0.0,0.0,0.0,1.1070937485118709e-17,1.2598067833544514e-16,-1.7753423334005842e-16
41,0.08,4100,global,1.8493587574416487e-16,0.0,1.0,0.0,0.0,0.0,-3.2599288729406044e-16,-1.4066931692367883e-16,2.25755078270498e-16
42,0.08,4200,global,9.023245029074772e-17,0.0,1.0,0.0,0.0,0.0,1.4175756101486779e-16,4.9641787095844793e-17,-1.4627195634555985e-16
43,0.08,4300,global,-1.5953914677913543e-16,0.0,1.0,0.0,0.0,0.0,-2.181946509035033e-16,1.21262818329405e-17,3.39414830934422e-16
44,0.08,4400,global,7.430106933056716e-17,0.0,1.0,0.0,0.0,0.0,-2.2028033037116063e-16,-3.8197830219762775e-18,4.1162242825361665e-18
45,0.08,4500,global,-8.663547039002913e-17,0.0,1.0,0.0,0.0,0.0,-2.6353669414249242e-17,1.2841298972969336e-16,-1.8474699473585968e-16
46,0.08,4600,global,-7.437736321823978e-17,0.0,1.0,0.0,0.0,0.0,9.34355178585574e-17,-1.447349087974928e-16,1.0003604267523732e-16
47,0.08,4700,global,2.0442778001523567e-16,0.0,1.0,0.0,0.0,0.0,-2.1070851350515212e-16,-1.0026966020141812e-16,1.3113437158321914e-16
48,0.08,4800,global,-3.3669906963868656e-17,0.0,1.0,0.0,0.0,0.0,-1.4305592852719018e-16,-7.388218820951589e-17,-1.331506750050438e-16
49,0.08,4900,global,1.2525784565120476e-16,0.0,1.0,0.0,0.0,0.0,4.452698816019972e-17,-9.53909499528414e-17,-5.566027043301176e-17
50,0.08,5000,global,-5.3121360886663094e-17,0.0,1.0,0.0,0.0,0.0,3.767403159361392e-17,-1.520678603106832e-16,-7.482011924602004e-18
51,0.08,5100,global,-7.870393571556559e-17,0.0,1.0,0.0,0.0,0.0,-1.3476728837214927e-16,4.8712157444561056e-17,5.1864582681672874e-17
52,0.08,5200,global,7.241743769904757e-17,0.0,1.0,0.0,0.0,0.0,2.374857704678717e-16,-1.3874424309765592e-16,5.680767123084816e-17
53,0.08,5300,global,-1.1146556988503624e-16,0.0,1.0,0.0,0.0,0.0,-2.7730158862136946e-17,-1.4616055066730135e-16,-1.9521122819459015e-16
54,0.08,5400,global,-7.56463239335846e-18,0.0,1.0,0.0,0.0,0.0,1.1054033257061112e-16,-7.258705428858916e-17,-1.5045161682474837e-16
55,0.08,5500,global,-1.3448931761323314e-16,0.0,1.0,0.0,0.0,0.0,-1.1942442053338943e-16,5.802223828341816e-17,-9.659393454287664e-17
56,0.08,5600,global,1.374771555514973e-16,0.0,1.0,0.0,0.0,0.0,-1.050964494851611e-16,-1.1572932767734929e-17,2.5853654664153315e-16
57,0.08,5700,global,-1.6732999867944768e-16,0.0,1.0,0.0,0.0,0.0,-2.7301618240586882e-17,-1.2852782753788035e-16,3.1059213474217975e-18
58,0.08,5800,global,-1.1869039470018086e-16,0.0,1.0,0.0,0.0,0.0,-6.278358714947248e-17,5.4003202570821176e-18,-2.216011026444342e-16
59,0.08,5900,global,,0.0,1.0,0.0,0.0,0.0,-1.052295530629894e-16,,-8.255555166535812e-17
60,0.08,6000,global,-1.2374079639162082e-16,0.0,1.0,0.0,0.0,0.0,3.767403159361392e-17,-7.066324465263112e-17,-1.5725327820572235e-16
61,0.08,6100,global,-1.4384981907018232e-16,0.0,1.0,0.0,0.0,0.0,-1.5473956137079798e-16,-5.802223828341816e-17,-2.2452826817013136e-16
62,0.08,6200,global,-7.540527563731174e-17,0.0,1.0,0.0,0.0,0.0,1.185310914597007e-16,1.5419450891941027e-16,-2.498034862314248e-16
63,0.08,6300,global,-1.9020546184466755e-16,0.0,1.0,0.0,0.0,0.0,2.893260055730426e-17,7.641837314517206e-17,-1.331118816601083e-16
64,0.08,6400,global,2.809315010638908e-17,0.0,1.0,0.0,0.0,0.0,-9.42554108998732e-17,1.2599807958897376e-16,-3.400827847140179e-17
65,0.08,6500,global,-2.252308572051245e-16,0.0,1.0,0.0,0.0,0.0,-6.243984412625252e-17,-1.561885864056295e-16,7.628197215639409e-17
66,0.08,6600,global,3.040405284807181e-17,0.0,1.0,0.0,0.0,0.0,1.611985051973436e-16,-1.4352290134556508e-16,1.3194224258940584e-16
67,0.08,6700,global,-5.3587594096647626e-17,0.0,1.0,0.0,0.0,0.0,-3.728793448158609e-17,8.458432736220171e-17,-1.9257360360461696e-16
68,0.08,6800,global,2.087543525125616e-16,0.0,1.0,0.0,0.0,0.0,-6.716461062413219e-17,1.6305050846188294e-16,-2.4210698593932784e-16
69,0.08,6900,global,2.252308572051245e-16,0.0,1.0,0.0,0.0,0.0,-1.7088664317976972e-16,2.2320432436784358e-17,-2.0521322562170428e-16
70,0.08,7000,global,1.1146556988503624e-16,0.0,1.0,0.0,0.0,0.0,1.0346422528822251e-16,9.705908900662048e-17,-8.255555166535812e-17
71,0.08,7100,global,-8.799157183704964e-17,0.0,1.0,0.0,0.0,0.0,1.346121935502591e-16,1.324611942616627e-16,-1.266795852357957e-16
72,0.08,7200,global,-2.063458471152172e-17,0.0,1.0,0.0,0.0,0.0,-7.944140474494082e-17,6.819728049272252e-17,-1.861369761694163e-16
73,0.08,7300,global,7.576587726759978e-17,0.0,1.0,0.0,0.0,0.0,2.2342845764862016e-16,1.3769362225073676e-16,3.42585843939198e-17
74,0.08,7400,global,5.2941644464494553e-17,0.0,1.0,0.0,0.0,0.0,6.363094955783756e-17,-1.5754240526769721e-16,-1.639929250824034e-16
75,0.08,7500,global,6.008227791670227e-17,0.0,1.0,0.0,0.0,0.0,-4.83046769485173e-17,-2.6635527919680998e-17,-1.9357138421307575e-16
76,0.08,7600,global,1.3885874620171802e-16,0.0,1.0,0.0,0.0,0.0,-1.8457909242172431e-16,1.2428257886715506e-16,-8.255555166535812e-17
77,0.08,7700,global,-1.315999611956018e-16,0.0,1.0,0.0,0.0,0.0,-4.521447420663967e-17,7.703659342909618e-17,-1.834997689752862e-16
78,0.08,7800,global,-1.1275422820945743e-16,0.0,1.0,0.0,0.0,0.0,2.581992214327479e-16,2.1381050051771521e-16,-7.582493713153298e-17
79,0.08,7900,global,9.917202426901824e-17,0.0,1.0,0.0,0.0,0.0,2.581992214327479e-16,-1.554439558888888e-16,5.660742649283375e-17
80,0.08,8000,global,1.1019167712598147e-16,0.0,1.0,0.0,0.0,0.0,-1.3476728837214927e-16,1.2470804451590406e-16,1.4890958093553304e-16
81,0.08,8100,global,5.3587594096647626e-17,0.0,1.0,0.0,0.0,0.0,-1.1320362179364677e-17,-1.2930433177384622e-16,1.69707415467211e-16
82,0.08,8200,global,-1.1528514575182162e-17,0.0,1.0,0.0,0.0,0.0,-2.4638683037486638e-17,-6.392192406253667e-17,-3.3050151978281835e-17
83,0.08,8300,global,-2.1138440056343053e-18,0.0,1.0,0.0,0.0,0.0,1.5031519720762086e-16,6.683399372404967e-17,1.7459101354261839e-16
84,0.08,8400,global,1.8717383146261082e-17,0.0,1.0,0.0,0.0,0.0,1.4346842015505414e-16,1.3135004417275854e-16,1.775652405922049e-16
85,0.08,8500,global,-1.6581849199359954e-16,0.0,1.0,0.0,0.0,0.0,1.8412220185806766e-16,-8.957354628496769e-17,-1.9257360360461696e-16
86,0.08,8600,global,2.087543525125616e-16,0.0,1.0,0.0,0.0,0.0,-4.3679625751834666e-17,2.2103572992002155e-16,-2.624189483258104e-16
87,0.08,8700,global,-5.928937257503683e-17,0.0,1.0,0.0,0.0,0.0,6.768022515896217e-17,3.110955805767784e-17,-1.5725327820572235e-16
88,0.08,8800,global,-1.7435037477215956e-16,0.0,1.0,0.0,0.0,0.0,6.363094955783756e-17,1.2657075406884406e-16,-1.861369761694163e-16
89,0.08,8900,global,-1.3997145032332138e-17,0.0,1.0,0.0,0.0,0.0,-3.2715049020425765e-16,1.501325148401185e-16,2.971839744187423e-16
90,0.08,9000,global,-2.0870262437587143e-16,0.0,1.0,0.0,0.0,0.0,-1.7088664317976972e-16,-2.335549622917085e-16,1.5725327820572235e-16
91,0.08,9100,global,-3.70977813357881e-17,0.0,1.0,0.0,0.0,0.0,-2.0291218646302063e-16,-1.636407930784181e-16,7.276072904053646e-17
92,0.08,9200,global,9.737394856072896e-17,0.0,1.0,0.0,0.0,0.0,2.219125545680992e-16,1.4203610577617991e-16,-9.461858216250923e-17
93,0.08,9300,global,3.3669906963868656e-17,0.0,1.0,0.0,0.0,0.0,1.8609499550224523e-16,-1.9821321198314564e-16,5.562147708807625e-17
94,0.08,9400,global,8.663547039002913e-17,0.0,1.0,0.0,0.0,0.0,-2.892186513432288e-16,-8.780394654174302e-17,-1.6729055063593507e-16
95,0.08,9500,global,2.0870262437587143e-16,0.0,1.0,0.0,0.0,0.0,-2.300588938711211e-16,-8.95200779430098e-17,1.1404714503419926e-16
96,0.08,9600,global,1.221058027845877e-16,0.0,1.0,0.0,0.0,0.0,-1.8653417895177283e-16,-2.7843066676162496e-16,-8.116557023180149e-17
97,0.08,9700,global,-1.5309437244058286e-16,0.0,1.0,0.0,0.0,0.0,3.818964612844388e-17,-3.5112965540537773e-17,-2.2427796224761336e-16
98,0.08,9800,global,2.0870262437587143e-16,0.0,1.0,0.0,0.0,0.0,-1.973132975751577e-16,-7.388218820951589e-17,1.7623130089869304e-16
99,0.08,9900,global,2.880870655750196e-18,0.0,1.0,0.0,0.0,0.0,8.15750362822406e-17,1.5282524798885812e-16,5.597000976991153e-17
100,0.1,0,global,-5.12773216023703e-17,0.0,1.0,0.0,0.0,0.0,9.543533956723287e-17,-6.648114909145577e-17,-3.39414830934422e-16
101,0.1,100,global,-2.3365913523755293e-16,0.0,1.0,0.0,0.0,0.0,-2.1070851350515212e-16,-4.023405551889932e-17,-1.4887854625958464e-16
102,0.1,200,global,-1.2512931044098081e-16,0.0,1.0,0.0,0.0,0.0,2.2037094983275475e-16,1.486473835937241e-16,-1.2150304965675937e-16
103,0.1,300,global,-7.586408657136568e-17,0.0,1.0,0.0,0.0,0.0,1.4297028347928454e-16,6.098387810720931e-18,-2.3544462138793735e-16
104,0.1,400,global,1.994814722200385e-17,0.0,1.0,0.0,0.0,0.0,-2.594702650452955e-16,-8.369540729107841e-17,1.5850050396629582e-16
105,0.1,500,global,-1.9369458244495887e-16,0.0,1.0,0.0,0.0,0.0,1.729181607951206e-16,-8.780394654174302e-17,-3.3050151978281835e-17
106,0.1,600,global,-8.86173472926971e-17,0.0,1.0,0.0,0.0,0.0,8.106661883722155e-17,2.808806275648442e-17,4.907606184624693e-17
107,0.1,700,global,1.5309437244058286e-16,0.0,1.0,0.0,0.0,0.0,1.2362896823324145e-17,-1.636407930784181e-16,-2.5226296713256914e-16
108,0.1,800,global,1.0429958405124556e-16,0.0,1.0,0.0,0.0,0.0,-1.1320362179364677e-17,-1.3902307552545802e-17,2.327880180568245e-16
109,0.1,900,global,9.138052859313858e-17,0.0,1.0,0.0,0.0,0.0,-5.156145348299568e-19,-1.2576411231902727e-16,2.971839744187423e-16
