,Unnamed: 0,stdWeights,<BH>,var(BH),<A>,var(A),sigma_star,balance
0,0,0.001,0.0,0.0,0.0,0.0,0.01,0.0
1,1,0.0012,0.0,0.0,0.0,0.0,0.011999999999999999,-2.1101712835646862e-150
2,2,0.0013,0.0,0.0,0.0,0.0,0.013,-7.722323846736764e-233
3,3,0.0015,0.0,0.0,0.0,0.0,0.015,-6.647997085004586e-149
4,4,0.0018,0.0,0.0,0.0,0.0,0.018,-3.4695623005800756e-49
5,5,0.0021,0.0,0.0,0.0,0.0,0.020999999999999998,-8.722256621027188e-11
6,6,0.0024,0.0,0.0,0.0,0.0,0.023999999999999997,-1.0000000000000004
7,7,0.0028,0.0,0.0,0.0,0.0,0.027999999999999997,-2.4756361644755163e-09
8,8,0.0032,0.0,0.0,0.0,0.0,0.032,-5.590098407950298e-18
9,9,0.0037,0.0,0.0,0.0,0.0,0.037,-2.2172220611456183e-09
10,10,0.0043,0.0,0.0,0.0,0.0,0.043,-1.0000000000000007
11,11,0.005,0.0,0.0,0.0,0.0,0.049999999999999996,-0.9999999999999998
12,12,0.0057,0.0,0.0,0.0,0.0,0.057,-1.0
13,13,0.0066,0.0,0.0,0.0,0.0,0.06599999999999999,-1.0000000000058367
14,14,0.0077,0.0,0.0,0.0,0.0,0.077,-1.0000000000000002
15,15,0.0089,0.0,0.0,0.0,0.0,0.089,-1.0000000000000002
16,16,0.0103,0.0,0.0,0.0,0.0,0.103,-1.0000000000000002
17,17,0.0119,0.0,0.0,0.0,0.0,0.11900000000000001,-1.0000000000000002
18,18,0.0138,0.0,0.0,0.0,0.0,0.13799999999999998,-0.999999999999572
19,19,0.0159,0.0,0.0,0.0,0.0,0.159,-0.9999999996811164
20,20,0.0184,0.0,0.0,0.0,0.0,0.184,-0.9999999451367214
21,21,0.0213,0.0,0.0,0.0,0.0,0.213,-0.9999973317888424
22,22,0.0247,0.0,0.0,0.0,0.0,0.247,-0.9999484713385274
23,23,0.0286,0.0,0.0,0.0,0.0,0.286,-0.9995286016839497
24,24,0.033,0.0,0.0,0.0,0.0,0.33,-0.9975569151728397
25,25,0.0382,0.0,0.0,0.0,0.0,0.38199999999999995,-0.991150161352996
26,26,0.0442,0.0,0.0,0.0,0.0,0.442,-0.9763299803271618
27,27,0.0512,0.0,0.0,1.0000000000000004e-06,0.0,0.512,-0.94919521470774
28,28,0.0592,5.147739880138524e-06,2.6234233614832892e-09,6.249750249750251e-06,1.8737506249993765e-07,0.592,-0.9088168199188753
29,29,0.0685,0.2573308435621246,0.1708320085243869,0.0005457532467532,0.0004072358829981,0.685,-0.855669800175008
30,30,0.0792,0.993518890976008,3.618536831229207e-06,0.0280384485514485,0.0474394575554315,0.792,-0.793276474965162
31,31,0.0916,0.9940396098051874,3.3032092694139277e-06,0.0582615114885115,0.0602865883067981,0.9159999999999999,-0.7250363588131389
32,32,0.106,0.9944844229173324,1.6996914805351328e-06,0.0866104065934065,0.0747259930598871,1.0599999999999998,-0.6545217273714535
33,33,0.1226,0.9940872166581574,2.712817165972854e-06,0.1135678661338661,0.0900579621357663,1.226,-0.5853057693327921
34,34,0.1419,0.9944717346981168,2.1495543480649557e-06,0.1398306883116883,0.1042548469672186,1.4189999999999998,-0.5190165152248792
35,35,0.1641,0.9942706824727584,2.180577641156988e-06,0.1653828241758241,0.1177184952110826,1.6409999999999998,-0.4577304049734112
36,36,0.1899,0.9943213919710348,2.49215187525258e-06,0.1905194815184814,0.1281003033529906,1.899,-0.40152370679369515
37,37,0.2197,0.994052112303887,4.105603858116659e-06,0.2150695614385614,0.1359634709526238,2.197,-0.35101027867643925
38,38,0.2541,0.994731454312442,1.2764381849005284e-06,0.2389986583416583,0.1401370994599806,2.541,-0.3060836318705021
39,39,0.294,0.9941081363213656,2.77120511998833e-06,0.2622022617382617,0.1396341213811165,2.9399999999999995,-0.26624592879362985
40,40,0.3401,0.9944359198649724,3.0917669482081018e-06,0.2844397162837163,0.140479680211896,3.401,-0.23126591258142026
41,41,0.3935,0.9942242810884688,2.8591850031883937e-06,0.305565879120879,0.139315306533626,3.935,-0.20060456836466323
42,42,0.4552,0.994266610820214,2.6920672659583324e-06,0.3254695334665334,0.1344043208080632,4.552,-0.17388246528041928
43,43,0.5266,0.9944611792629884,1.6554507530387175e-06,0.3440331348651348,0.1315099492236034,5.265999999999999,-0.1506105134934454
44,44,0.6093,0.9940229619572618,3.113426057550505e-06,0.3612122827172827,0.1283683179098625,6.092999999999999,-0.1303654981460583
45,45,0.7049,0.9941959321926012,4.222374048343679e-06,0.3769148621378621,0.1242336233037692,7.0489999999999995,-0.11281264390731138
46,46,0.8154,0.9946028819178866,2.026329458572402e-06,0.3911299960039959,0.1215336699883532,8.154,-0.09760718480385988
47,47,0.9434,0.9943643287289644,4.139092655988988e-06,0.4040363776223776,0.1170543192392023,9.434,-0.08441731140634567
48,48,1.0914,0.9944209824522956,2.53415888152374e-06,0.4155747942057942,0.1146561527723026,10.913999999999998,-0.07300435793279436
49,49,1.2626,0.9943245597882272,2.7745399355756936e-06,0.425931878121878,0.1118853103539816,12.626,-0.06312776572035583
50,50,1.4607,0.994385358457976,2.2408837811078416e-06,0.4351286993006992,0.1107828792725755,14.607000000000001,-0.054580799775005406
51,51,1.6898,0.994197908099629,5.990866640375221e-06,0.4432720849150849,0.1082033866513107,16.898,-0.047190146320306214
52,52,1.955,0.994438727312305,2.3860188789839463e-06,0.4504033806193805,0.1060109413323938,19.55,-0.040794719415776226
53,53,2.2617,0.9940759094222184,3.7773047474918832e-06,0.4566609540459541,0.1045136736829604,22.616999999999997,-0.03526659900353357
54,54,2.6165,0.9941396784154812,4.025381185395655e-06,0.4621255144855144,0.1032457978664692,26.164999999999996,-0.030486923733238525
55,55,3.027,0.9944521470317004,2.0178118676141047e-06,0.4669167062937063,0.1012521295547609,30.27,-0.026354127925180937
56,56,3.5019,0.9943419584294922,2.2387675740052867e-06,0.4711164865134865,0.1001155554156133,35.019,-0.0227812369315899
57,57,4.0513,0.9944031958120296,2.737784906842372e-06,0.4747937322677323,0.0988091269090549,40.513,-0.01969253194674514
58,58,4.6869,0.9946462531697772,2.1657341187653194e-06,0.4779937432567432,0.0985240734310644,46.86899999999999,-0.017022424809970182
59,59,5.4222,0.994116166588714,3.1472036811042564e-06,0.4808255034965035,0.0977851847852447,54.222,-0.014714310279008713
60,60,6.2729,0.9940283697513156,3.834755826597795e-06,0.4832311998001998,0.0966720775807609,62.729,-0.012719009821928362
