,stdWeights,Chaotic,Fix,Non-Trivial,Cyclic,No-Activity,Saturated
0,0.001,0,0,0,0,100,0
1,0.0012,0,0,0,0,100,0
2,0.0013,0,0,0,0,100,0
3,0.0015,0,0,0,0,100,0
4,0.0018,0,0,0,0,100,0
5,0.0021,0,0,0,0,100,0
6,0.0024,0,0,0,0,100,0
7,0.0028,0,0,0,0,100,0
8,0.0032,0,0,0,0,100,0
9,0.0037,0,0,0,0,100,0
10,0.0043,0,0,0,0,100,0
11,0.005,0,0,0,0,100,0
12,0.0057,0,0,0,0,100,0
13,0.0066,0,0,0,0,100,0
14,0.0077,0,0,0,0,100,0
15,0.0089,0,0,0,0,100,0
16,0.0103,0,0,0,0,100,0
17,0.0119,0,0,0,0,100,0
18,0.0138,0,0,0,0,100,0
19,0.0159,0,0,0,0,100,0
20,0.0184,0,0,0,0,100,0
21,0.0213,0,0,0,0,100,0
22,0.0247,0,0,0,0,100,0
23,0.0286,0,0,0,0,100,0
24,0.033,0,0,0,0,100,0
25,0.0382,0,1,0,0,99,0
26,0.0442,0,2,0,0,98,0
27,0.0512,0,4,0,0,96,0
28,0.0592,0,7,0,0,93,0
29,0.0685,0,10,0,0,90,0
30,0.0792,0,8,0,0,92,0
31,0.0916,0,11,0,1,88,0
32,0.106,0,18,0,5,77,0
33,0.1226,0,24,0,17,59,0
34,0.1419,0,15,0,53,32,0
35,0.1641,6,10,0,73,11,0
36,0.1899,33,3,0,60,4,0
37,0.2197,68,5,1,26,0,0
38,0.2541,82,2,2,14,0,0
39,0.294,88,3,0,9,0,0
40,0.3401,93,3,1,3,0,0
41,0.3935,89,1,0,10,0,0
42,0.4552,85,0,0,15,0,0
43,0.5266,76,2,1,21,0,0
44,0.6093,71,4,2,23,0,0
45,0.7049,64,2,0,34,0,0
46,0.8154,58,2,1,39,0,0
47,0.9434,56,4,1,39,0,0
48,1.0914,59,5,2,34,0,0
49,1.2626,58,4,4,34,0,0
50,1.4607,48,5,0,47,0,0
51,1.6898,46,2,1,51,0,0
52,1.955,41,6,1,52,0,0
53,2.2617,40,5,1,54,0,0
54,2.6165,38,7,4,51,0,0
55,3.027,37,5,3,55,0,0
56,3.5019,35,8,3,54,0,0
57,4.0513,36,5,3,56,0,0
58,4.6869,38,6,1,55,0,0
59,5.4222,31,5,3,61,0,0
60,6.2729,28,5,5,62,0,0
61,7.257,30,6,3,61,0,0
62,8.3956,32,8,2,58,0,0
63,9.7127,34,7,5,54,0,0
64,11.2365,29,8,5,58,0,0
65,12.9994,29,8,3,60,0,0
66,15.0389,29,6,0,65,0,0
67,17.3983,31,5,0,64,0,0
68,20.1279,31,7,0,62,0,0
69,23.2857,29,7,1,63,0,0
70,26.9389,29,9,1,61,0,0
71,31.1653,27,9,1,63,0,0
72,36.0547,26,7,1,66,0,0
73,41.7112,25,7,2,66,0,0
74,48.2552,24,8,2,66,0,0
75,55.8259,25,8,1,66,0,0
76,64.5842,24,8,2,66,0,0
77,74.7167,26,7,2,65,0,0
78,86.4388,26,7,2,65,0,0
79,100.0,26,7,2,65,0,0
