,stdWeights,<A>,var(A),<BH>,var(BH),sigma_star,balance
0,0.001,0.0,0.0,0.0,0.0,0.01,-1.0
1,0.0012,0.0,0.0,0.0,0.0,0.0119999999999999,-1.0
2,0.0013,0.0,0.0,0.0,0.0,0.013,-1.0
3,0.0015,0.0,0.0,0.0,0.0,0.015,-1.0
4,0.0018,0.0,0.0,0.0,0.0,0.018,-1.0
5,0.0021,0.0,0.0,0.0,0.0,0.0209999999999999,-1.0
6,0.0024,0.0,0.0,0.0,0.0,0.0239999999999999,-1.0
7,0.0028,0.0,0.0,0.0,0.0,0.0279999999999999,-1.0
8,0.0032,0.0,0.0,0.0,0.0,0.032,-1.0
9,0.0037,0.0,0.0,0.0,0.0,0.037,-1.0
10,0.0043,0.0,0.0,0.0,0.0,0.043,-1.0
11,0.005,0.0,0.0,0.0,0.0,0.0499999999999999,-1.0
12,0.0057,0.0,0.0,0.0,0.0,0.057,-1.0
13,0.0066,0.0,0.0,0.0,0.0,0.0659999999999999,-1.0
14,0.0077,0.0,0.0,0.0,0.0,0.077,-1.0
15,0.0089,0.0,0.0,0.0,0.0,0.089,-1.0
16,0.0103,0.0,0.0,0.0,0.0,0.103,-1.0
17,0.0119,0.0,0.0,0.0,0.0,0.119,-1.0
18,0.0138,0.0,0.0,0.0,0.0,0.1379999999999999,-0.999999999999572
19,0.0159,0.0,0.0,0.0,0.0,0.159,-0.999999999681116
20,0.0184,0.0,0.0,0.0,0.0,0.184,-0.9999999451367212
21,0.0213,0.0,0.0,0.0,0.0,0.213,-0.999997331788812
22,0.0247,0.0,0.0,0.0,0.0,0.247,-0.9999484713385688
23,0.0286,0.0,0.0,0.0,0.0,0.286,-0.9995286016839464
24,0.033,0.0,0.0,0.0,0.0,0.33,-0.9975569151728396
25,0.0382,0.0,0.0,0.0,0.0,0.3819999999999999,-0.991150161352996
26,0.0442,0.0,0.0,0.0,0.0,0.442,-0.976329980327162
27,0.0512,0.0,0.0,0.0,0.0,0.512,-0.9491952147077408
28,0.0592,0.0001,0.0,0.0,0.0,0.592,-0.9088168199188752
29,0.0685,0.0036363636363636,0.0011889934241582,0.03633417547080378,0.031651871911653584,0.685,-0.855669800175008
30,0.0792,0.0181492507492507,0.0109355196252299,0.2695086731100883,0.17801275381082654,0.792,-0.7932764749651616
31,0.0916,0.0430144855144855,0.0345091104699496,0.5507773265094267,0.22924936629479928,0.916,-0.7250363588131385
32,0.106,0.0760654345654345,0.0584115377130362,0.7555577181645604,0.17106019643936776,1.0599999999999998,-0.654521727371446
33,0.1226,0.1135312687312687,0.0955863602930536,0.9671232234386627,0.022682870140595827,1.226,-0.5853057693327919
34,0.1419,0.1371200799200799,0.1142142243371014,0.9940749028677291,1.7593105972193107e-05,1.4189999999999998,-0.519016515224879
35,0.1641,0.1602670329670329,0.1275362002632731,0.9785590577088565,0.012739918542475278,1.6409999999999998,-0.457730404973411
36,0.1899,0.1833973026973027,0.1397220817144893,0.9837152204466824,0.009815400930215889,1.899,-0.4015237067936949
37,0.2197,0.2068447552447552,0.1488860671795736,0.994096770319743,2.759948964977047e-06,2.197,-0.3510102786764392
38,0.2541,0.2297058941058941,0.152263336463736,0.9942556627730562,3.6424149843407696e-06,2.541,-0.3060836318705021
39,0.294,0.252169030969031,0.1513209030729509,0.9933211487538262,6.536668065124066e-05,2.9399999999999995,-0.2662459287936297
40,0.3401,0.2739113886113886,0.1488478662196943,0.9841415878852341,0.009755892033967139,3.401,-0.2312659125814202
41,0.3935,0.2951032967032966,0.1439721389499611,0.9817758665240561,0.010159918627933846,3.935,-0.2006045683646631
42,0.4552,0.3155005994005994,0.1368178820180818,0.9714576349645136,0.01977684850578338,4.552,-0.1738824652804191
43,0.5266,0.3351304695304696,0.1331305046601749,0.9625854064468704,0.02879582657903296,5.265999999999999,-0.1506105134934452
44,0.6093,0.3529784215784214,0.1267364395843916,0.9595946590245071,0.028795920253104342,6.092999999999999,-0.130365498146058
45,0.7049,0.3688343656343655,0.1211783952311424,0.951867915307019,0.03794301284029296,7.049,-0.1128126439073111
46,0.8154,0.3837181818181819,0.1175966860312514,0.9331597789208509,0.05496394464190323,8.154,-0.0976071848038596
47,0.9434,0.3981790209790209,0.1144662107123645,0.9321819669130765,0.05393859706070434,9.434,-0.0844173114063452
48,1.0914,0.4110417582417582,0.1147887553006434,0.9236412398335527,0.0641877897214944,10.913999999999998,-0.0730043579327941
49,1.2626,0.4204821178821178,0.1128327159354132,0.950563006558303,0.03786323123017013,12.626,-0.0631277657203553
50,1.4607,0.430188011988012,0.1089671489349811,0.9301589393674177,0.05547442071273844,14.607,-0.0545807997750049
51,1.6898,0.4389602397602398,0.106582710196896,0.9210777544532828,0.06408509463171659,16.898,-0.0471901463203058
52,1.955,0.4469903096903097,0.1042481538441578,0.9300467891764234,0.05521107635919349,19.55,-0.0407947194157756
53,2.2617,0.4526939060939061,0.1050933262541654,0.8923914566071205,0.07843944193949866,22.617,-0.0352665990035331
54,2.6165,0.460024875124875,0.101522909058973,0.8357782650677318,0.12063801514257348,26.165,-0.030486923733238
55,3.027,0.4639828171828171,0.1012342253151444,0.8530200567115994,0.1095662153827353,30.27,-0.0263541279251804
56,3.5019,0.4687291708291709,0.0953592838729701,0.871036445859042,0.09482455168597015,35.019,-0.0227812369315893
57,4.0513,0.4738975024975024,0.0938849392365875,0.8865263972309405,0.08759764405390259,40.513,-0.0196925319467447
58,4.6869,0.4772096903096902,0.0911827301569559,0.938018330101994,0.04675890800380059,46.86899999999999,-0.0170224248099696
59,5.4222,0.4797454545454546,0.0935608437516529,0.9291526757253336,0.05516691840569646,54.222,-0.0147143102790082
60,6.2729,0.4829051948051948,0.094946074305315,0.866589959029327,0.10272730993092345,62.729,-0.0127190098219283
61,7.257,0.4862130869130869,0.0900346578496428,0.8355328987465351,0.12045435095640068,72.57,-0.0109943407848368
62,8.3956,0.4875375624375623,0.0913372715196891,0.8366284883058487,0.12407791338573,83.95599999999999,-0.0095033790910153
63,9.7127,0.4891891108891109,0.0896845420313952,0.93872802928795,0.046399138307668154,97.127,-0.0082147133609192
64,11.2365,0.4907947052947052,0.0885410884819476,0.8970734336156481,0.0794861782593658,112.365,-0.0071007344684167
65,12.9994,0.4914814185814186,0.0891273092541824,0.8156704376497455,0.13655646718708267,129.994,-0.0061377962941543
66,15.0389,0.4926296703296703,0.0856780049121707,0.8629222207380878,0.1022416516491235,150.38899999999998,-0.0053054324526497
67,17.3983,0.494436963036963,0.0880169131567732,0.8977031874700971,0.08024386315058603,173.98299999999998,-0.0045859662592508
68,20.1279,0.494674025974026,0.0890114888108894,0.844476267458773,0.11731078110011742,201.279,-0.0039640562523272
69,23.2857,0.4953287712287712,0.0815955467110312,0.8177088640223978,0.13716998144795617,232.857,-0.0034264896838097
70,26.9389,0.4969477522477523,0.0858741121016845,0.8462446261227009,0.11705682260516122,269.389,-0.0029618237135498
71,31.1653,0.4969802197802199,0.0822433306952787,0.9016772820300238,0.07266017143892782,311.653,-0.0025601652853341
72,36.0547,0.4975901098901099,0.0868766222788201,0.8481109349053917,0.11427835233214909,360.547,-0.0022129806594674
73,41.7112,0.497028971028971,0.0847329417834912,0.9171154391700297,0.06374792924458424,417.112,-0.0019128766289846
74,48.2552,0.4981660339660339,0.084438809142905,0.8774015212366053,0.09561181369732004,482.552,-0.0016534673770256
75,55.8259,0.4983248751248751,0.0852252756234774,0.8788812754684696,0.09572110669048219,558.2589999999999,-0.0014292364907834
76,64.5842,0.4981661338661339,0.0854790518173135,0.8653871882396441,0.10302203387927651,645.8419999999999,-0.0012354170865162
77,74.7167,0.4987348651348651,0.0867266258217307,0.9061189575698385,0.07191031177456826,747.167,-0.0010678795002944
78,86.4388,0.4990017982017981,0.0884238325111452,0.8940278539571554,0.07860665319241927,864.3879999999999,-0.0009230627713744
79,100.0,0.4993101898101898,0.0854237626509355,0.8849291334591781,0.08608394508440412,1000.0,-0.0007978844278221
