,Unnamed: 0,stdWeights,Chaotic,Fix,Non-Trivial,Cyclic,No-Activity,Saturated,balance
92,92,7.257,100,0,0,0,0,0,-0.01099434078483681
93,93,8.3956,100,0,0,0,0,0,-0.009503379091015311
94,94,9.7127,100,0,0,0,0,0,-0.00821471336091928
95,95,11.2365,100,0,0,0,0,0,-0.0071007344684167525
96,96,12.9994,100,0,0,0,0,0,-0.006137796294154314
97,97,15.0389,100,0,0,0,0,0,-0.0053054324526497785
98,98,17.3983,100,0,0,0,0,0,-0.0045859662592508815
99,99,20.1279,100,0,0,0,0,0,-0.00396405625232729
100,100,23.2857,100,0,0,0,0,0,-0.003426489683809713
101,101,26.9389,100,0,0,0,0,0,-0.0029618237135498244
102,102,31.1653,100,0,0,0,0,0,-0.002560165285334165
103,103,36.0547,100,0,0,0,0,0,-0.0022129806594674284
104,104,41.7112,100,0,0,0,0,0,-0.0019128766289846862
105,105,48.2552,100,0,0,0,0,0,-0.0016534673770256312
106,106,55.8259,100,0,0,0,0,0,-0.0014292364907834473
107,107,64.5842,100,0,0,0,0,0,-0.001235417086516235
108,108,74.7167,100,0,0,0,0,0,-0.0010678795002944694
109,109,86.4388,100,0,0,0,0,0,-0.0009230627713744747
110,110,100.0,100,0,0,0,0,0,-0.0007978844278221252
