,Unnamed: 0,stdWeights,<BH>,var(BH),<A>,var(A),sigma_star,balance
0,0,0.001,0.0,0.0,0.0,0.0,0.01,0.0
1,1,0.0012,0.0,0.0,0.0,0.0,0.011999999999999999,-2.1101712835646862e-150
2,2,0.0013,0.0,0.0,0.0,0.0,0.013,-7.722323846736764e-233
3,3,0.0015,0.0,0.0,0.0,0.0,0.015,-6.647997085004586e-149
4,4,0.0018,0.0,0.0,0.0,0.0,0.018,-3.4695623005800756e-49
5,5,0.0021,0.0,0.0,0.0,0.0,0.020999999999999998,-8.722256621027188e-11
6,6,0.0024,0.0,0.0,0.0,0.0,0.023999999999999997,-1.0000000000000004
7,7,0.0028,0.0,0.0,0.0,0.0,0.027999999999999997,-2.4756361644755163e-09
8,8,0.0032,0.0,0.0,0.0,0.0,0.032,-5.590098407950298e-18
9,9,0.0037,0.0,0.0,0.0,0.0,0.037,-2.2172220611456183e-09
10,10,0.0043,0.0,0.0,0.0,0.0,0.043,-1.0000000000000007
11,11,0.005,0.0,0.0,0.0,0.0,0.049999999999999996,-0.9999999999999998
12,12,0.0057,0.0,0.0,0.0,0.0,0.057,-1.0
13,13,0.0066,0.0,0.0,0.0,0.0,0.06599999999999999,-1.0000000000058367
14,14,0.0077,0.0,0.0,0.0,0.0,0.077,-1.0000000000000002
15,15,0.0089,0.0,0.0,0.0,0.0,0.089,-1.0000000000000002
16,16,0.0103,0.0,0.0,0.0,0.0,0.103,-1.0000000000000002
17,17,0.0119,0.0,0.0,0.0,0.0,0.11900000000000001,-1.0000000000000002
18,18,0.0138,0.0,0.0,0.0,0.0,0.13799999999999998,-0.999999999999572
19,19,0.0159,0.0,0.0,0.0,0.0,0.159,-0.9999999996811164
20,20,0.0184,0.0,0.0,0.0,0.0,0.184,-0.9999999451367214
21,21,0.0213,0.0,0.0,0.0,0.0,0.213,-0.9999973317888424
22,22,0.0247,0.0,0.0,0.0,0.0,0.247,-0.9999484713385274
23,23,0.0286,0.0,0.0,0.0,0.0,0.286,-0.9995286016839497
24,24,0.033,0.0,0.0,0.0,0.0,0.33,-0.9975569151728397
25,25,0.0382,0.0,0.0,0.0,0.0,0.38199999999999995,-0.991150161352996
26,26,0.0442,0.0,0.0,0.0,0.0,0.442,-0.9763299803271618
27,27,0.0512,0.0,0.0,0.0,0.0,0.512,-0.94919521470774
28,28,0.0592,0.0,0.0,6.000000000000002e-06,0.0,0.592,-0.9088168199188753
29,29,0.0685,0.0087793120201912,0.0076284997131851,2.1642357642357644e-05,4.372448730091088e-06,0.685,-0.855669800175008
30,30,0.0792,0.0987422672784035,0.078989355966822,0.0001663936063936,4.394348309033624e-05,0.792,-0.793276474965162
31,31,0.0916,0.9449395624655637,0.0290394415312463,0.0140496583416583,0.0473207568874681,0.9159999999999999,-0.7250363588131389
32,32,0.106,0.9935812129555832,2.4538810312229368e-06,0.0555181768231768,0.0767068722705865,1.0599999999999998,-0.6545217273714535
33,33,0.1226,0.9942203889362032,2.505359117648561e-06,0.0921878001998001,0.0890375544874705,1.226,-0.5853057693327921
34,34,0.1419,0.9943210042741364,2.5213197103495807e-06,0.126770985014985,0.1016750194720364,1.4189999999999998,-0.5190165152248792
35,35,0.1641,0.9943392294692772,3.1820020042702622e-06,0.1591306853146853,0.1101787933784497,1.6409999999999998,-0.4577304049734112
36,36,0.1899,0.9945600871609908,2.149739528174876e-06,0.1897473766233766,0.1162083112212463,1.899,-0.40152370679369515
37,37,0.2197,0.9944261453397224,2.723552398878261e-06,0.2186717422577422,0.1223421706245802,2.197,-0.35101027867643925
38,38,0.2541,0.9944369259495326,2.560839557812414e-06,0.2457623586413586,0.1245094939605849,2.541,-0.3060836318705021
39,39,0.294,0.9945515569424502,2.40430945077987e-06,0.2713220589410589,0.124653148919013,2.9399999999999995,-0.26624592879362985
40,40,0.3401,0.994377706099296,2.961392423170072e-06,0.2946975134865135,0.1231389652126094,3.401,-0.23126591258142026
41,41,0.3935,0.994641316494298,1.5299736411024151e-06,0.3162642317682317,0.1203797823754666,3.935,-0.20060456836466323
42,42,0.4552,0.9943337379613868,2.4229032684196757e-06,0.3358347452547452,0.1175714595055295,4.552,-0.17388246528041928
43,43,0.5266,0.994202441123152,2.766457034374108e-06,0.3539531398601399,0.1145741210537713,5.265999999999999,-0.1506105134934454
44,44,0.6093,0.9942536550718616,3.695136298153048e-06,0.3701649270729271,0.1103340421277024,6.092999999999999,-0.1303654981460583
45,45,0.7049,0.9944147702466438,2.146846103680376e-06,0.3848807152847153,0.1067832191464879,7.0489999999999995,-0.11281264390731138
46,46,0.8154,0.9944519397753252,3.0425032135447576e-06,0.3978654515484516,0.1040084251392963,8.154,-0.09760718480385988
47,47,0.9434,0.994072391202727,3.4804367699673523e-06,0.4094696913086912,0.1018211802163869,9.434,-0.08441731140634567
48,48,1.0914,0.9942360921540032,3.0695868391574253e-06,0.419677903096903,0.0981914302281135,10.913999999999998,-0.07300435793279436
49,49,1.2626,0.9940752948865256,2.929516005897851e-06,0.4287187642357642,0.095258817122937,12.626,-0.06312776572035583
50,50,1.4607,0.9941251403574382,3.215709189096411e-06,0.4366675914085913,0.0930808534562341,14.607000000000001,-0.054580799775005406
51,51,1.6898,0.9943775271579678,1.678435431539818e-06,0.4437524885114886,0.0915256481021476,16.898,-0.047190146320306214
52,52,1.955,0.9944171635957854,2.5027001313974024e-06,0.4499526283716284,0.0901034821582014,19.55,-0.040794719415776226
53,53,2.2617,0.994317192857154,2.616747568466461e-06,0.4552152397602397,0.0875305587379653,22.616999999999997,-0.03526659900353357
54,54,2.6165,0.9941751782535364,3.677604471174559e-06,0.4597367542457544,0.0858911735098069,26.164999999999996,-0.030486923733238525
55,55,3.027,0.9944607509735892,1.986783026989496e-06,0.4638272347652347,0.0847799408224143,30.27,-0.026354127925180937
56,56,3.5019,0.9940246898746874,3.381609311530178e-06,0.4673101348651349,0.0833301806964264,35.019,-0.0227812369315899
57,57,4.0513,0.9944110124720592,1.7644394121343911e-06,0.4704529440559439,0.0822703103430036,40.513,-0.01969253194674514
58,58,4.6869,0.9943818113184558,2.127124260540408e-06,0.4731272567432568,0.0813089145439974,46.86899999999999,-0.017022424809970182
59,59,5.4222,0.9942609278867648,2.770527251085004e-06,0.475445001998002,0.0808540508781927,54.222,-0.014714310279008713
60,60,6.2729,0.9943118737236086,2.221284508080902e-06,0.4773995614385614,0.080262661913511,62.729,-0.012719009821928362
