,stdWeights,Chaotic,Fix,Non-Trivial,Cyclic,No-Activity,Saturated
0,0.001,0,100,0,0,0,0
1,0.0012,0,100,0,0,0,0
2,0.0013,0,100,0,0,0,0
3,0.0015,0,100,0,0,0,0
4,0.0018,0,100,0,0,0,0
5,0.0021,0,100,0,0,0,0
6,0.0024,0,100,0,0,0,0
7,0.0028,0,100,0,0,0,0
8,0.0032,0,100,0,0,0,0
9,0.0037,0,100,0,0,0,0
10,0.0043,0,100,0,0,0,0
11,0.005,0,100,0,0,0,0
12,0.0057,0,100,0,0,0,0
13,0.0066,0,100,0,0,0,0
14,0.0077,0,100,0,0,0,0
15,0.0089,0,100,0,0,0,0
16,0.0103,0,100,0,0,0,0
17,0.0119,0,100,0,0,0,0
18,0.0138,0,100,0,0,0,0
19,0.0159,0,100,0,0,0,0
20,0.0184,0,100,0,0,0,0
21,0.0213,0,100,0,0,0,0
22,0.0247,0,100,0,0,0,0
23,0.0286,0,100,0,0,0,0
24,0.033,0,100,0,0,0,0
25,0.0382,0,100,0,0,0,0
26,0.0442,0,100,0,0,0,0
27,0.0512,0,100,0,0,0,0
28,0.0592,0,100,0,0,0,0
29,0.0685,0,100,0,0,0,0
30,0.0792,0,100,0,0,0,0
31,0.0916,0,97,0,3,0,0
32,0.106,0,100,0,0,0,0
33,0.1226,0,98,0,2,0,0
34,0.1419,0,94,0,6,0,0
35,0.1641,0,94,0,6,0,0
36,0.1899,0,92,0,8,0,0
37,0.2197,0,89,0,11,0,0
38,0.2541,0,84,0,16,0,0
39,0.294,0,76,0,24,0,0
40,0.3401,0,64,0,36,0,0
41,0.3935,0,49,0,51,0,0
42,0.4552,0,43,0,57,0,0
43,0.5266,0,37,0,63,0,0
44,0.6093,1,28,0,71,0,0
45,0.7049,2,25,0,73,0,0
46,0.8154,2,18,0,80,0,0
47,0.9434,12,17,1,70,0,0
48,1.0914,16,9,1,74,0,0
49,1.2626,24,7,0,69,0,0
50,1.4607,37,5,0,58,0,0
51,1.6898,42,3,4,51,0,0
52,1.955,50,4,2,44,0,0
53,2.2617,53,4,1,42,0,0
54,2.6165,59,1,2,38,0,0
55,3.027,65,3,3,29,0,0
56,3.5019,76,3,1,20,0,0
57,4.0513,77,1,2,20,0,0
58,4.6869,75,0,2,23,0,0
59,5.4222,81,1,2,16,0,0
60,6.2729,81,1,2,16,0,0
61,7.257,87,2,1,10,0,0
62,8.3956,86,1,1,12,0,0
63,9.7127,88,3,0,9,0,0
64,11.2365,86,3,0,11,0,0
65,12.9994,86,2,1,11,0,0
66,15.0389,83,1,0,16,0,0
67,17.3983,84,2,1,13,0,0
68,20.1279,90,1,0,9,0,0
69,23.2857,94,0,1,5,0,0
70,26.9389,93,1,0,6,0,0
71,31.1653,93,1,0,6,0,0
72,36.0547,92,1,0,7,0,0
73,41.7112,90,2,0,8,0,0
74,48.2552,90,1,0,9,0,0
75,55.8259,89,2,0,9,0,0
76,64.5842,86,1,1,12,0,0
77,74.7167,85,2,1,12,0,0
78,86.4388,87,2,1,10,0,0
79,100.0,88,0,1,11,0,0
