,stdWeights,<BH>,var(BH),<A>,var(A),sigma_star,balance
31,0.0916,1.4979665308521144e-05,5.623994658217878e-09,0.9452110009990008,1.9999980039940084e-06,0.916,0.7250363588131389
32,0.106,1.1002971815443643e-05,3.214532018909747e-09,0.9239314995004996,1.7494992519967548e-06,1.0599999999999998,0.6545217273714535
33,0.1226,1.0539417483549213e-05,1.1231353556912664e-09,0.8955845004995006,2.24999775449326e-06,1.226,0.5853057693327921
34,0.1419,0.009203710425830357,0.008364579415813908,0.8603534995004998,6.584660095149607e-06,1.4189999999999998,0.5190165152248792
35,0.1641,0.03693311706191542,0.03273077841128881,0.8204712367632366,9.15034216532764e-06,1.6409999999999998,0.4577304049734112
36,0.1899,0.04483964255165931,0.03818768581731738,0.777789897102897,2.0473217092597217e-05,1.899,0.4015237067936951
37,0.2197,0.03664132340476547,0.03210517120172283,0.7348106583416585,2.4317883914290016e-05,2.197,0.3510102786764392
38,0.2541,0.09062530452156953,0.07377999441937415,0.6944195354645355,9.1873325475718e-05,2.541,0.3060836318705021
39,0.294,0.11778110298227368,0.09277374197028423,0.656578791208791,0.0001012630027315,2.9399999999999995,0.2662459287936298
40,0.3401,0.2303711106349838,0.15943008062789657,0.6228407182817183,0.0004079935888287,3.401,0.2312659125814202
41,0.3935,0.24869223841950586,0.16733959294356435,0.592641066933067,0.0004607131829209,3.935,0.2006045683646632
42,0.4552,0.40197450638727744,0.21539991417892107,0.5659313596403597,0.0013761355128388,4.552,0.1738824652804192
43,0.5266,0.4399481442736593,0.2191907118289682,0.5430055134865135,0.0017006827378415,5.265999999999999,0.1506105134934454
44,0.6093,0.5053051771487902,0.21861493257394943,0.5229394415584415,0.002769544321812,6.092999999999999,0.1303654981460583
45,0.7049,0.5952077799855813,0.20916454281648483,0.5062078361638362,0.0036253039967025,7.049,0.1128126439073113
46,0.8154,0.6203532997691762,0.2077072843593315,0.4916308291708292,0.0038377026070832,8.154,0.0976071848038598
47,0.9434,0.6534065257186481,0.20165240585173938,0.4787123866133866,0.0078455910323442,9.434,0.0844173114063456
48,1.0914,0.7536110498509597,0.161222908554119,0.4673066743256743,0.0087655487908694,10.913999999999998,0.0730043579327943
49,1.2626,0.8277540169105252,0.12162549960456609,0.4578801338661338,0.011220764514207,12.626,0.0631277657203558
50,1.4607,0.8304922359751921,0.12234269328764405,0.4496784745254745,0.0128700896965172,14.607,0.0545807997750054
51,1.6898,0.9060778042192943,0.06292328903149332,0.4425231808191807,0.0167160928881308,16.898,0.0471901463203062
52,1.955,0.8804549897783502,0.0867353595543264,0.4371607312687313,0.0175154116732418,19.55,0.0407947194157762
53,2.2617,0.9826147699736341,0.009874169537581851,0.4321246883116882,0.019973350767115,22.617,0.0352665990035335
54,2.6165,0.951776411111757,0.03793886460455573,0.4274173376623377,0.0223720082474967,26.165,0.0304869237332385
55,3.027,0.9519452287940777,0.03724441750732255,0.4234883486513487,0.0224454040385189,30.27,0.0263541279251809
56,3.5019,0.9680894869595202,0.019680445951683497,0.4199774435564435,0.0269460997583834,35.019,0.0227812369315899
57,4.0513,0.9576152320053792,0.029182222525549174,0.4170735834165835,0.0289155558287866,40.513,0.0196925319467451
58,4.6869,0.8976552199695992,0.07217486711863912,0.4145303316683316,0.0291880385069476,46.86899999999999,0.0170224248099701
59,5.4222,0.9224117654983504,0.04677216591057786,0.4124408211788212,0.0306994502360775,54.222,0.0147143102790087
60,6.2729,0.9797385137359628,0.010153802703892777,0.4108804855144854,0.0321686174943936,62.729,0.0127190098219283
61,7.257,0.9922927909436106,0.00014087561200491408,0.4093261728271728,0.0318332710186915,72.57,0.0109943407848367
62,8.3956,0.981954066284317,0.009870104651532702,0.4082397292707293,0.0324473350026596,83.95599999999999,0.0095033790910153
63,9.7127,0.895956831516665,0.07994980012844378,0.4069715054945053,0.0330696114654576,97.127,0.0082147133609192
64,11.2365,0.9403633900541415,0.04322097927339042,0.4061393106893107,0.0315069308453783,112.365,0.0071007344684168
65,12.9994,0.9814771729393738,0.009966928801099048,0.4050844935064935,0.0327710583482451,129.994,0.0061377962941543
66,15.0389,0.981692278362159,0.009922028984406209,0.4041626253746254,0.0331106190373063,150.38899999999998,0.0053054324526496
67,17.3983,0.9575626338202946,0.03026039032281248,0.403541993006993,0.0336257750381486,173.98299999999998,0.0045859662592507
68,20.1279,0.9696058738718704,0.019424798646565506,0.4027253866133866,0.035102878426269,201.279,0.0039640562523273
69,23.2857,0.9725106084328862,0.019436843837742065,0.4021721588411588,0.0356812603600196,232.857,0.0034264896838098
70,26.9389,0.9726438337727565,0.0179133633233811,0.4017491828171829,0.0353923281793132,269.389,0.0029618237135498
71,31.1653,0.9600753591179754,0.02877244945534872,0.4013345334665334,0.0351516973156713,311.653,0.0025601652853343
72,36.0547,0.971405796224052,0.01952460073099417,0.401067018981019,0.034987458715111,360.547,0.0022129806594674
73,41.7112,0.9610025551163769,0.02871992544534005,0.4007290149850149,0.0346297280322076,417.112,0.0019128766289845
74,48.2552,0.981186972595929,0.009884920666467897,0.4005630889110888,0.0346226963446144,482.552,0.0016534673770257
75,55.8259,0.9598220352926815,0.028973849747481337,0.4002606533466534,0.0354824618019343,558.2589999999999,0.0014292364907833
76,64.5842,0.971458707385796,0.019453336016767523,0.4002076293706294,0.0346653882900316,645.8419999999999,0.0012354170865161
77,74.7167,0.9711667947095621,0.019290944598077692,0.4000551948051947,0.0340729132665536,747.167,0.0010678795002945
78,86.4388,0.9726963188764673,0.019368903413504793,0.3998777762237763,0.0341575404874845,864.3879999999999,0.0009230627713744
79,100.0,0.9432548893132318,0.04686993221741128,0.3997815074925075,0.0347286401291017,1000.0,0.0007978844278221
