,stdWeights,Chaotic,Fix,Non-Trivial,Cyclic,No-Activity,Saturated
0,0.001,0,0,0,0,100,0
1,0.0012,0,0,0,0,100,0
2,0.0013,0,0,0,0,100,0
3,0.0015,0,0,0,0,100,0
4,0.0018,0,0,0,0,100,0
5,0.0021,0,0,0,0,100,0
6,0.0024,0,0,0,0,100,0
7,0.0028,0,0,0,0,100,0
8,0.0032,0,0,0,0,100,0
9,0.0037,0,0,0,0,100,0
10,0.0043,0,0,0,0,100,0
11,0.005,0,0,0,0,100,0
12,0.0057,0,0,0,0,100,0
13,0.0066,0,0,0,0,100,0
14,0.0077,0,0,0,0,100,0
15,0.0089,0,0,0,0,100,0
16,0.0103,0,0,0,0,100,0
17,0.0119,0,0,0,0,100,0
18,0.0138,0,0,0,0,100,0
19,0.0159,0,0,0,0,100,0
20,0.0184,0,0,0,0,100,0
21,0.0213,0,0,0,0,100,0
22,0.0247,0,0,0,0,100,0
23,0.0286,0,0,0,0,100,0
24,0.033,0,0,0,0,100,0
25,0.0382,0,0,0,0,100,0
26,0.0442,0,0,0,0,100,0
27,0.05,0,0,0,0,100,0
28,0.0512,0,0,0,0,100,0
29,0.0592,0,3,0,0,97,0
30,0.06,0,4,0,0,96,0
31,0.0635,0,5,0,0,95,0
32,0.0672,0,5,0,1,94,0
33,0.0685,0,7,0,1,92,0
34,0.0705,0,6,0,4,90,0
35,0.0711,0,6,0,5,89,0
36,0.0753,0,11,0,10,79,0
37,0.0775,0,13,0,12,75,0
38,0.0792,0,17,0,15,68,0
39,0.0797,0,19,0,17,64,0
40,0.0843,1,16,0,41,42,0
41,0.0893,26,3,1,60,10,0
42,0.0916,75,0,2,22,1,0
43,0.0945,100,0,0,0,0,0
44,0.0994,100,0,0,0,0,0
45,0.1,100,0,0,0,0,0
46,0.1001,100,0,0,0,0,0
47,0.106,100,0,0,0,0,0
48,0.1226,100,0,0,0,0,0
49,0.1292,100,0,0,0,0,0
50,0.1401,100,0,0,0,0,0
51,0.1419,100,0,0,0,0,0
52,0.1641,100,0,0,0,0,0
53,0.1669,100,0,0,0,0,0
54,0.1899,100,0,0,0,0,0
55,0.1975,100,0,0,0,0,0
56,0.2155,100,0,0,0,0,0
57,0.2197,100,0,0,0,0,0
58,0.2541,100,0,0,0,0,0
59,0.2784,100,0,0,0,0,0
60,0.2785,100,0,0,0,0,0
61,0.294,100,0,0,0,0,0
62,0.3401,100,0,0,0,0,0
63,0.3595,100,0,0,0,0,0
64,0.3926,100,0,0,0,0,0
65,0.3935,100,0,0,0,0,0
66,0.4552,100,0,0,0,0,0
67,0.4643,100,0,0,0,0,0
68,0.5266,100,0,0,0,0,0
69,0.5534,100,0,0,0,0,0
70,0.5996,100,0,0,0,0,0
71,0.6093,100,0,0,0,0,0
72,0.7049,100,0,0,0,0,0
73,0.7743,100,0,0,0,0,0
74,0.7803,100,0,0,0,0,0
75,0.8154,100,0,0,0,0,0
76,0.9434,100,0,0,0,0,0
77,1.0,100,0,0,0,0,0
78,1.0914,100,0,0,0,0,0
79,1.1,100,0,0,0,0,0
80,1.2626,100,0,0,0,0,0
81,1.4607,100,0,0,0,0,0
82,1.6898,100,0,0,0,0,0
83,1.955,100,0,0,0,0,0
84,2.2617,100,0,0,0,0,0
85,2.6165,100,0,0,0,0,0
86,3.027,100,0,0,0,0,0
87,3.5019,100,0,0,0,0,0
88,4.0513,100,0,0,0,0,0
89,4.6869,100,0,0,0,0,0
90,5.4222,100,0,0,0,0,0
91,6.2729,100,0,0,0,0,0
92,7.257,100,0,0,0,0,0
93,8.3956,100,0,0,0,0,0
94,9.7127,100,0,0,0,0,0
95,11.2365,100,0,0,0,0,0
96,12.9994,100,0,0,0,0,0
97,15.0389,100,0,0,0,0,0
98,17.3983,100,0,0,0,0,0
99,20.1279,100,0,0,0,0,0
100,23.2857,100,0,0,0,0,0
101,26.9389,100,0,0,0,0,0
102,31.1653,100,0,0,0,0,0
103,36.0547,100,0,0,0,0,0
104,41.7112,100,0,0,0,0,0
105,48.2552,100,0,0,0,0,0
106,55.8259,100,0,0,0,0,0
107,64.5842,100,0,0,0,0,0
108,74.7167,100,0,0,0,0,0
109,86.4388,100,0,0,0,0,0
110,100.0,100,0,0,0,0,0
