,stdWeights,<BH>,var(BH),<A>,var(A),sigma_star,balance
47,0.9434,0.9944313889285779,2.177788668347404e-06,0.3240553286713286,0.0682366320652374,9.434,-0.0844173114063456
48,1.0914,0.9940373094811052,3.321850877115988e-06,0.3335931428571428,0.0646663784986242,10.913999999999998,-0.0730043579327943
49,1.2626,0.994395199086043,2.251534913530996e-06,0.3424363936063936,0.0626023066982967,12.626,-0.0631277657203558
50,1.4607,0.9939407504660603,1.4633112435593962e-05,0.349766017982018,0.0590351963021993,14.607,-0.0545807997750054
51,1.6898,0.9930536916678752,0.00011579739346427141,0.3561777662337662,0.0569651191765277,16.898,-0.0471901463203062
52,1.955,0.9943624946420487,2.3745255315983477e-06,0.3620210759240759,0.0554330787773665,19.55,-0.0407947194157762
53,2.2617,0.9910538955000898,0.0002820672447120896,0.3669968361638361,0.0515963126923027,22.617,-0.0352665990035335
54,2.6165,0.9825531969315258,0.009776599606714384,0.371298939060939,0.0493397634154057,26.165,-0.0304869237332385
55,3.027,0.973481956887171,0.01927015419205737,0.3751312067932069,0.0462287184304207,30.27,-0.0263541279251809
56,3.5019,0.9836773069536437,0.009787177035358372,0.3787342867132867,0.0433412017592797,35.019,-0.0227812369315899
57,4.0513,0.9818706175693677,0.009901667708491421,0.3817013716283716,0.0434073682421474,40.513,-0.0196925319467451
58,4.6869,0.9935426115165191,1.9617860133210044e-05,0.3841657192807193,0.0425618324013648,46.86899999999999,-0.0170224248099701
59,5.4222,0.9940795799671635,3.310784829158487e-06,0.3862213686313685,0.0409597531439589,54.222,-0.0147143102790087
60,6.2729,0.9910074749233436,0.00020893087230357157,0.3880318591408591,0.0396778242297163,62.729,-0.0127190098219283
61,7.257,0.9704143670307868,0.01947704464347042,0.389526108891109,0.0404142018361259,72.57,-0.0109943407848367
62,8.3956,0.9812910774254607,0.009820009475564169,0.3908906413586412,0.0400334349147356,83.95599999999999,-0.0095033790910153
63,9.7127,0.9834080042817795,0.009783087046028632,0.3918941268731268,0.0385320868741647,97.127,-0.0082147133609192
64,11.2365,0.9932297407010359,2.0606237726473264e-05,0.3929351108891108,0.0392667693205894,112.365,-0.0071007344684168
65,12.9994,0.981774537435366,0.009829098466550503,0.3936711348651348,0.0389514013978029,129.994,-0.0061377962941543
66,15.0389,0.9809421634136409,0.009952823975686682,0.3944534445554445,0.0374338269822085,150.38899999999998,-0.0053054324526496
67,17.3983,0.993026781077846,8.419322900037845e-05,0.3950378101898102,0.0376581295627449,173.98299999999998,-0.0045859662592507
68,20.1279,0.9740296471412866,0.01935057001389727,0.3955820939060938,0.0370772295476751,201.279,-0.0039640562523273
