,stdWeights,Chaotic,Fix,Non-Trivial,Cyclic,No-Activity,Saturated
0,0.001,0,0,0,0,100,0
1,0.0012,0,0,0,0,100,0
2,0.0013,0,0,0,0,100,0
3,0.0015,0,0,0,0,100,0
4,0.0018,0,0,0,0,100,0
5,0.0021,0,0,0,0,100,0
6,0.0024,0,0,0,0,100,0
7,0.0028,0,0,0,0,100,0
8,0.0032,0,0,0,0,100,0
9,0.0037,0,0,0,0,100,0
10,0.0043,0,0,0,0,100,0
11,0.005,0,0,0,0,100,0
12,0.0057,0,0,0,0,100,0
13,0.0066,0,0,0,0,100,0
14,0.0077,0,0,0,0,100,0
15,0.0089,0,0,0,0,100,0
16,0.0103,0,0,0,0,100,0
17,0.0119,0,0,0,0,100,0
18,0.0138,0,0,0,0,100,0
19,0.0159,0,0,0,0,100,0
20,0.0184,0,0,0,0,100,0
21,0.0213,0,0,0,0,100,0
22,0.0247,0,0,0,0,100,0
23,0.0286,0,0,0,0,100,0
24,0.033,0,0,0,0,100,0
25,0.0382,0,0,0,0,100,0
26,0.0442,0,0,0,0,100,0
27,0.0512,0,0,0,0,100,0
28,0.0592,0,0,0,0,100,0
29,0.0685,0,5,0,0,95,0
30,0.0792,0,7,0,0,93,0
31,0.0916,0,13,0,1,86,0
32,0.106,0,24,0,11,65,0
33,0.1226,0,29,0,24,47,0
34,0.1419,1,17,0,63,19,0
35,0.1641,58,5,5,32,0,0
36,0.1899,98,1,0,1,0,0
37,0.2197,100,0,0,0,0,0
38,0.2541,100,0,0,0,0,0
39,0.294,100,0,0,0,0,0
40,0.3401,100,0,0,0,0,0
41,0.3935,100,0,0,0,0,0
42,0.4552,100,0,0,0,0,0
43,0.5266,100,0,0,0,0,0
44,0.6093,100,0,0,0,0,0
45,0.7049,100,0,0,0,0,0
46,0.8154,100,0,0,0,0,0
47,0.9434,100,0,0,0,0,0
48,1.0914,100,0,0,0,0,0
49,1.2626,100,0,0,0,0,0
50,1.4607,99,0,0,1,0,0
51,1.6898,99,0,0,1,0,0
52,1.955,99,0,0,1,0,0
53,2.2617,99,0,0,1,0,0
54,2.6165,99,0,0,1,0,0
55,3.027,96,0,0,4,0,0
56,3.5019,97,0,0,3,0,0
57,4.0513,94,0,0,6,0,0
58,4.6869,94,1,1,4,0,0
59,5.4222,94,0,0,6,0,0
60,6.2729,94,0,1,5,0,0
61,7.257,96,0,0,4,0,0
62,8.3956,96,0,1,3,0,0
63,9.7127,93,0,1,6,0,0
64,11.2365,94,0,0,6,0,0
65,12.9994,91,1,1,7,0,0
66,15.0389,93,1,0,6,0,0
67,17.3983,93,0,0,7,0,0
68,20.1279,90,0,0,10,0,0
69,23.2857,90,1,0,9,0,0
70,26.9389,90,0,0,10,0,0
71,31.1653,91,0,1,8,0,0
72,36.0547,90,0,1,9,0,0
73,41.7112,90,1,1,8,0,0
74,48.2552,91,1,0,8,0,0
75,55.8259,89,1,2,8,0,0
76,64.5842,88,0,2,10,0,0
77,74.7167,89,0,2,9,0,0
78,86.4388,90,0,1,9,0,0
79,100.0,89,0,1,10,0,0
