,Unnamed: 0,stdWeights,<BH>,var(BH),<A>,var(A),sigma_star,balance
0,0,0.001,0.0,0.0,0.0,0.0,0.01,0.0
1,1,0.0012,0.0,0.0,0.0,0.0,0.011999999999999999,-2.1101712835646862e-150
2,2,0.0013,0.0,0.0,0.0,0.0,0.013,-7.722323846736764e-233
3,3,0.0015,0.0,0.0,0.0,0.0,0.015,-6.647997085004586e-149
4,4,0.0018,0.0,0.0,0.0,0.0,0.018,-3.4695623005800756e-49
5,5,0.0021,0.0,0.0,0.0,0.0,0.020999999999999998,-8.722256621027188e-11
6,6,0.0024,0.0,0.0,0.0,0.0,0.023999999999999997,-1.0000000000000004
7,7,0.0028,0.0,0.0,0.0,0.0,0.027999999999999997,-2.4756361644755163e-09
8,8,0.0032,0.0,0.0,0.0,0.0,0.032,-5.590098407950298e-18
9,9,0.0037,0.0,0.0,0.0,0.0,0.037,-2.2172220611456183e-09
10,10,0.0043,0.0,0.0,0.0,0.0,0.043,-1.0000000000000007
11,11,0.005,0.0,0.0,0.0,0.0,0.049999999999999996,-0.9999999999999998
12,12,0.0057,0.0,0.0,0.0,0.0,0.057,-1.0
13,13,0.0066,0.0,0.0,0.0,0.0,0.06599999999999999,-1.0000000000058367
14,14,0.0077,0.0,0.0,0.0,0.0,0.077,-1.0000000000000002
15,15,0.0089,0.0,0.0,0.0,0.0,0.089,-1.0000000000000002
16,16,0.0103,0.0,0.0,0.0,0.0,0.103,-1.0000000000000002
17,17,0.0119,0.0,0.0,0.0,0.0,0.11900000000000001,-1.0000000000000002
18,18,0.0138,0.0,0.0,0.0,0.0,0.13799999999999998,-0.999999999999572
19,19,0.0159,0.0,0.0,0.0,0.0,0.159,-0.9999999996811164
20,20,0.0184,0.0,0.0,0.0,0.0,0.184,-0.9999999451367214
21,21,0.0213,0.0,0.0,0.0,0.0,0.213,-0.9999973317888424
22,22,0.0247,0.0,0.0,0.0,0.0,0.247,-0.9999484713385274
23,23,0.0286,0.0,0.0,0.0,0.0,0.286,-0.9995286016839497
24,24,0.033,0.0,0.0,0.0,0.0,0.33,-0.9975569151728397
25,25,0.0382,0.0,0.0,1.0000000000000004e-06,0.0,0.38199999999999995,-0.991150161352996
26,26,0.0442,0.0,0.0,1.0000000000000004e-06,0.0,0.442,-0.9763299803271618
27,27,0.0512,0.0,0.0,2.0000000000000008e-06,0.0,0.512,-0.94919521470774
28,28,0.0592,0.0,0.0,5.000000000000001e-06,0.0,0.592,-0.9088168199188753
29,29,0.0685,0.0,0.0,1.2000000000000004e-05,0.0,0.685,-0.855669800175008
30,30,0.0792,0.0458640096721536,0.0399666786106237,3.100199800199801e-05,1.7766648935480097e-06,0.792,-0.793276474965162
31,31,0.0916,0.1470315008908649,0.1136551032783098,0.0003338981018981,6.956135373118389e-05,0.9159999999999999,-0.7250363588131389
32,32,0.106,0.7460682052835997,0.1568109671826877,0.0095126833166833,0.0130915052040866,1.0599999999999998,-0.6545217273714535
33,33,0.1226,0.9930488451722465,2.672393601240098e-06,0.0528485754245754,0.0855116113816253,1.226,-0.5853057693327921
34,34,0.1419,0.9937728172853116,4.039131496164448e-06,0.0935436513486513,0.0993563688159991,1.4189999999999998,-0.5190165152248792
35,35,0.1641,0.9940257629756062,2.8689293639839013e-06,0.1309973896103896,0.1086032639867624,1.6409999999999998,-0.4577304049734112
36,36,0.1899,0.994705768905046,1.9189789628666213e-06,0.1658166373626373,0.1123314432520526,1.899,-0.40152370679369515
37,37,0.2197,0.9940865452844904,2.746708461569428e-06,0.1977706363636363,0.117360010001986,2.197,-0.35101027867643925
38,38,0.2541,0.9942332310205998,2.4718415465268345e-06,0.2268808591408591,0.1170847980431157,2.541,-0.3060836318705021
39,39,0.294,0.994258604247364,2.3565615373535085e-06,0.2539422267732267,0.1169161609619151,2.9399999999999995,-0.26624592879362985
40,40,0.3401,0.9943123812132496,2.9350142120616603e-06,0.2787344945054945,0.1154202610097195,3.401,-0.23126591258142026
41,41,0.3935,0.9941565478271333,2.346653353282001e-06,0.301184018981019,0.1111941406585423,3.935,-0.20060456836466323
42,42,0.4552,0.9945611486681354,2.04069203125606e-06,0.3211918251748252,0.1082249260549639,4.552,-0.17388246528041928
43,43,0.5266,0.9943276246864216,2.396223151143599e-06,0.3392996843156844,0.1035547995620763,5.265999999999999,-0.1506105134934454
44,44,0.6093,0.9942468001202012,2.725192359004189e-06,0.3552743846153846,0.1002790081606704,6.092999999999999,-0.1303654981460583
45,45,0.7049,0.9941446664145716,2.28997853784761e-06,0.369649821178821,0.0958487771668889,7.0489999999999995,-0.11281264390731138
46,46,0.8154,0.9943152874217308,2.2980115037944265e-06,0.3825021428571428,0.0922907676599124,8.154,-0.09760718480385988
47,47,0.9434,0.9940569750639864,3.5262153940610905e-06,0.3937797212787213,0.089959780529161,9.434,-0.08441731140634567
48,48,1.0914,0.9943700542503756,2.489651469950846e-06,0.403619023976024,0.0862756116730422,10.913999999999998,-0.07300435793279436
49,49,1.2626,0.9943872525222552,2.7703580090042227e-06,0.4123609970029969,0.0830523642770816,12.626,-0.06312776572035583
50,50,1.4607,0.994307708856472,2.19036794869263e-06,0.4199500999000999,0.080269968686658,14.607000000000001,-0.054580799775005406
51,51,1.6898,0.994339355264435,3.0272288770128957e-06,0.4267455274725275,0.0779249715439405,16.898,-0.047190146320306214
52,52,1.955,0.9941947889210636,3.058318593259662e-06,0.4326333056943057,0.0763071385557499,19.55,-0.040794719415776226
53,53,2.2617,0.994146210745594,2.97165440690981e-06,0.4375148421578421,0.0753805775463297,22.616999999999997,-0.03526659900353357
54,54,2.6165,0.994220473353173,4.556018347919318e-06,0.4416914365634365,0.0732296194714376,26.164999999999996,-0.030486923733238525
55,55,3.027,0.994453296811755,2.505103851792665e-06,0.4454192117882118,0.0714470521207064,30.27,-0.026354127925180937
56,56,3.5019,0.994253666691374,3.0636903888832227e-06,0.4488301398601398,0.070177067310312,35.019,-0.0227812369315899
57,57,4.0513,0.9945213887009048,1.531189969433249e-06,0.4516201538461539,0.0698857123396084,40.513,-0.01969253194674514
58,58,4.6869,0.9942321462735998,1.924177086085933e-06,0.4539762667332667,0.0680234166792248,46.86899999999999,-0.017022424809970182
59,59,5.4222,0.994253564709556,2.8217770509341484e-06,0.456281969030969,0.0677314344436782,54.222,-0.014714310279008713
60,60,6.2729,0.9944647103732186,2.4094771366334803e-06,0.4581361958041958,0.0667020841017124,62.729,-0.012719009821928362
