,Unnamed: 0,stdWeights,<BH>,var(BH),sigma_star,balance
0,0,0.001,0.0,0.0,0.01,1.0
1,1,0.0012,0.0,0.0,0.011999999999999999,1.0
2,2,0.0013,0.0,0.0,0.013,1.0
3,3,0.0015,0.0,0.0,0.015,1.0
4,4,0.0018,0.0,0.0,0.018,1.0
5,5,0.0021,0.0,0.0,0.020999999999999998,1.0
6,6,0.0024,0.0,0.0,0.023999999999999997,1.0
7,7,0.0028,0.0,0.0,0.027999999999999997,1.0
8,8,0.0032,0.0,0.0,0.032,1.0
9,9,0.0037,0.0,0.0,0.037,1.0
10,10,0.0043,0.0,0.0,0.043,1.0
11,11,0.005,0.0,0.0,0.049999999999999996,1.0
12,12,0.0057,0.0,0.0,0.057,1.0
13,13,0.0066,0.0,0.0,0.06599999999999999,1.0
14,14,0.0077,0.0,0.0,0.077,1.0
15,15,0.0089,0.0,0.0,0.089,1.0
16,16,0.0103,0.0,0.0,0.103,1.0
17,17,0.0119,0.0,0.0,0.11900000000000001,1.0
18,18,0.0138,0.0,0.0,0.13799999999999998,0.9999999999995719
19,19,0.0159,0.0,0.0,0.159,0.9999999996811161
20,20,0.0184,0.0,0.0,0.184,0.9999999451367212
21,21,0.0213,0.0,0.0,0.213,0.9999973317888119
22,22,0.0247,0.0,0.0,0.247,0.9999484713385688
23,23,0.0286,0.0,0.0,0.286,0.9995286016839463
24,24,0.033,0.0,0.0,0.33,0.9975569151728395
25,25,0.0382,0.0,0.0,0.38199999999999995,0.991150161352996
26,26,0.0442,0.0,0.0,0.442,0.976329980327162
27,27,0.0512,0.0,0.0,0.512,0.9491952147077407
28,28,0.0592,0.0,0.0,0.592,0.9088168199188753
29,29,0.0685,0.0,0.0,0.685,0.855669800175008
30,30,0.0792,0.0,0.0,0.792,0.7932764749651616
31,31,0.0916,0.0,0.0,0.9159999999999999,0.7250363588131385
32,32,0.106,1.1710463870610238e-06,1.3576361442421902e-10,1.0599999999999998,0.654521727371446
33,33,0.1226,3.513139161183071e-06,3.9906274542876487e-10,1.226,0.5853057693327919
34,34,0.1419,2.3420927741220475e-06,2.6878452956714067e-10,1.4189999999999998,0.519016515224879
35,35,0.1641,0.0091925344902153,0.0083477031474431,1.6409999999999998,0.457730404973411
36,36,0.1899,0.00888512118337,0.007776658889991,1.899,0.4015237067936949
37,37,0.2197,0.0734414493283111,0.0619871876319773,2.197,0.3510102786764392
38,38,0.2541,0.0829015341369417,0.0694868919201622,2.541,0.3060836318705021
39,39,0.294,0.1021841365336105,0.0844098503104677,2.9399999999999995,0.26624592879362974
40,40,0.3401,0.1534977975409746,0.1151751679920953,3.401,0.2312659125814202
41,41,0.3935,0.2183797903071889,0.1511833935109842,3.935,0.2006045683646631
42,42,0.4552,0.2105388042119918,0.148422068508923,4.552,0.17388246528041915
43,43,0.5266,0.1944341554100189,0.1421309013633449,5.265999999999999,0.15061051349344523
44,44,0.6093,0.3402652305751662,0.1972723811481934,6.092999999999999,0.13036549814605802
45,45,0.7049,0.3764530915110601,0.2035404436613737,7.0489999999999995,0.11281264390731113
46,46,0.8154,0.3582501101659977,0.2010954262406703,8.154,0.09760718480385963
47,47,0.9434,0.428578576157164,0.2168354841390472,9.434,0.08441731140634524
48,48,1.0914,0.448311694331384,0.2180891718823019,10.913999999999998,0.07300435793279415
49,49,1.2626,0.4520869244213849,0.213083281379497,12.626,0.06312776572035536
50,50,1.4607,0.3631579988903182,0.2067974413091428,14.607000000000001,0.054580799775004914
51,51,1.6898,0.3786120975624065,0.2065641825683622,16.898,0.04719014632030581
52,52,1.955,0.4447409209312429,0.2145288917563708,19.55,0.04079471941577565
53,53,2.2617,0.4536397303213697,0.2144046243103745,22.616999999999997,0.035266599003533176
54,54,2.6165,0.4202449121203946,0.2162841601306425,26.164999999999996,0.030486923733238094
55,55,3.027,0.4287758697139762,0.2162907953872494,30.27,0.026354127925180437
56,56,3.5019,0.4564652969254563,0.217556037787872,35.019,0.022781236931589382
57,57,4.0513,0.456512056176339,0.2175995861915274,40.513,0.01969253194674477
58,58,4.6869,0.4674745192217595,0.2187753557451395,46.86899999999999,0.017022424809969662
59,59,5.4222,0.4733535196427709,0.2156588836463662,54.222,0.01471431027900827
60,60,6.2729,0.4541944692382851,0.2153433903435975,62.729,0.01271900982192838
61,61,7.257,0.4545746630878049,0.2156065573215396,72.57,0.01099434078483681
62,62,8.3956,0.4536802002613528,0.2141203107005338,83.95599999999999,0.009503379091015311
63,63,9.7127,0.5012808774156247,0.2145983156520068,97.127,0.00821471336091928
64,64,11.2365,0.4841463897307748,0.2170346103611434,112.365,0.0071007344684167525
65,65,12.9994,0.4458383791991867,0.2151667503367489,129.994,0.006137796294154314
66,66,15.0389,0.4557639629327614,0.216103474531021,150.38899999999998,0.0053054324526497785
67,67,17.3983,0.4692453144500472,0.2207856010057476,173.98299999999998,0.0045859662592508815
68,68,20.1279,0.4505151630533224,0.2204147236487658,201.279,0.00396405625232729
69,69,23.2857,0.4376064067449842,0.2157967981975731,232.85699999999997,0.003426489683809713
70,70,26.9389,0.4359843867645082,0.2144723961495516,269.389,0.0029618237135498244
71,71,31.1653,0.4781005241885904,0.2202492708486022,311.65299999999996,0.002560165285334165
72,72,36.0547,0.4270323343521947,0.2140617079117258,360.54699999999997,0.0022129806594674284
73,73,41.7112,0.4595878914940778,0.2203395873350692,417.11199999999997,0.0019128766289846862
74,74,48.2552,0.4348712057055597,0.2133999128705098,482.552,0.0016534673770256312
75,75,55.8259,0.4197597783147339,0.2123515564708751,558.2589999999999,0.0014292364907834473
76,76,64.5842,0.4437889563058845,0.2135222834692999,645.8419999999999,0.001235417086516235
77,77,74.7167,0.4277612494075882,0.2152502407816044,747.167,0.0010678795002944694
78,78,86.4388,0.4437889563058845,0.2135222834692999,864.3879999999999,0.0009230627713744747
79,79,100.0,0.4197004203475502,0.2157041811914062,1000.0,0.0007978844278221252
