,stdWeights,<A>,var(A),<BH>,var(BH)
68,20.1279,0.3954432727272727,0.0351083204906981,0.9058351777043907,0.07078955422968808
69,23.2857,0.3960994365634366,0.0363601153930984,0.8240772540541424,0.12974315815055218
70,26.9389,0.3964316763236764,0.0363327736319624,0.8348234944533394,0.12324778819973072
71,31.1653,0.3966503896103896,0.0356821334110444,0.9248183189371546,0.0546653929067403
72,36.0547,0.3970273406593406,0.0356020039261437,0.8353689637391488,0.12211438833388712
73,41.7112,0.3974804475524475,0.03577075018488,0.9522094241759449,0.029680658934701346
74,48.2552,0.3976783976023976,0.0366903103449996,0.8247263031420853,0.12963178794981117
75,55.8259,0.3979733666333666,0.0366604914685713,0.9150342700779107,0.06350515295696017
76,64.5842,0.3985936063936065,0.0365103939097865,0.8624562552995608,0.10069022055293379
77,74.7167,0.3986898901098901,0.0368220102854188,0.925154633666791,0.05389069518220829
78,86.4388,0.3987928391608392,0.0364289243064627,0.8807529431721445,0.08719849423230606
79,100.0,0.3988587092907093,0.0360818364372889,0.8953347730674261,0.07977935944414194
