,stdWeights,<BH>,var(BH),sigma_star,balance,<A>,<var(A)>,var(<A>)
34,0.1419,0.9938654858709622,3.47632707812082e-06,1.4189999999999998,-0.519016515224879,0.1277335464535464,0.0999450911925237,4.089895627010352e-05
35,0.1641,0.9941656574016912,2.871146125956134e-06,1.6409999999999998,-0.457730404973411,0.1595198201798202,0.1086119688104104,3.803426172668487e-05
36,0.1899,0.9943287503700715,4.830572872300289e-06,1.899,-0.4015237067936949,0.1896091308691309,0.1137812611564259,3.69914147115622e-05
37,0.2197,0.9942057137275333,2.563161051630163e-06,2.197,-0.3510102786764392,0.2182553446553447,0.1189878513494497,4.04088858194752e-05
38,0.2541,0.994407103953775,1.8997332136955808e-06,2.541,-0.3060836318705021,0.2448508991008991,0.1215605640712933,4.038628576967486e-05
39,0.294,0.9939472684375391,3.0854670299984635e-06,2.9399999999999995,-0.2662459287936297,0.2701707592407592,0.1223745055943057,4.5545776246830105e-05
40,0.3401,0.9941547083638408,2.844251862909314e-06,3.401,-0.2312659125814202,0.2930770729270729,0.1211560908222646,4.971859831227708e-05
41,0.3935,0.9944318702055877,1.9222457785522848e-06,3.935,-0.2006045683646631,0.3148790709290709,0.1185012832721724,5.216917780271682e-05
42,0.4552,0.9944661877166376,2.0090518051643116e-06,4.552,-0.1738824652804191,0.3345231668331668,0.1160139354751142,6.0042560789759626e-05
43,0.5266,0.9945671462868081,1.7008373795181295e-06,5.265999999999999,-0.1506105134934452,0.3518176423576424,0.1124331623221933,6.803346348796049e-05
44,0.6093,0.994278118215109,3.347366794906592e-06,6.092999999999999,-0.130365498146058,0.3682402997002997,0.1096812247293166,6.727343891712688e-05
45,0.7049,0.9946210095293353,1.664035370109478e-06,7.049,-0.1128126439073111,0.3824875624375625,0.1069533568529372,6.667461033222526e-05
46,0.8154,0.994332179373785,1.8021133203793097e-06,8.154,-0.0976071848038596,0.3956708191808192,0.1047943155346152,7.117893284527654e-05
47,0.9434,0.9945855819412093,2.1475864469712073e-06,9.434,-0.0844173114063452,0.4073713186813187,0.100864660594151,7.690959970489041e-05
48,1.0914,0.9943009307099558,2.978706038811764e-06,10.913999999999998,-0.0730043579327941,0.4174356843156843,0.0980945707040212,7.892388020131706e-05
49,1.2626,0.9942293262813814,3.2107317260087106e-06,12.626,-0.0631277657203553,0.4267453846153847,0.0948021108960969,9.143265051941068e-05
50,1.4607,0.9940279181575932,5.02990748880873e-06,14.607,-0.0545807997750049,0.43458987012987,0.0924217943694667,9.708124787140946e-05
51,1.6898,0.9941983245790893,3.5626341973234165e-06,16.898,-0.0471901463203058,0.4416709890109889,0.0898938379502615,9.824630542724016e-05
52,1.955,0.9945747945440209,1.816896587773843e-06,19.55,-0.0407947194157756,0.4484475224775224,0.0882212942701654,0.0001026127450462
53,2.2617,0.9940169948117101,2.9548660117381654e-06,22.617,-0.0352665990035331,0.454205994005994,0.0867013182621574,0.0001110843001553
54,2.6165,0.9943916945874441,2.5967074996215026e-06,26.165,-0.030486923733238,0.4586871228771228,0.0846358526787897,0.0001107120194629
55,3.027,0.993047396428938,0.00019965536860355897,30.27,-0.0263541279251804,0.4626435664335666,0.0834469895938227,0.0001141967447396
56,3.5019,0.9940403723442088,5.7737071098091584e-06,35.019,-0.0227812369315893,0.4659923976023976,0.0830687730850568,0.0001073217884991
57,4.0513,0.9942894827480916,2.2817912870419452e-06,40.513,-0.0196925319467447,0.4689806593406592,0.0814369279870978,0.0001075170436061
58,4.6869,0.9942910558204487,4.11958898663172e-06,46.86899999999999,-0.0170224248099696,0.4718823476523476,0.0792606925941191,0.0001087158649313
59,5.4222,0.9941353763195094,3.131472552328984e-06,54.222,-0.0147143102790082,0.4742885714285714,0.0793020688602107,0.0001062403919361
60,6.2729,0.9945794398367755,1.7005676086158847e-06,62.729,-0.0127190098219283,0.4760431768231767,0.0782668816897388,0.0001053877375886
61,7.257,0.9943599958405591,3.1388467708099947e-06,72.57,-0.0109943407848368,0.477516193806194,0.0780639451457633,0.0001091353830244
62,8.3956,0.9942405595930391,3.0822020797901673e-06,83.95599999999999,-0.0095033790910153,0.4790166033966034,0.0787209145499854,0.0001086742143726
63,9.7127,0.9943485113492859,3.0912293253608794e-06,97.127,-0.0082147133609192,0.4801549750249751,0.077296474015495,0.0001137595586761
64,11.2365,0.9942288573491445,2.7912266183063602e-06,112.365,-0.0071007344684167,0.4813896003996003,0.0775007372846933,0.000114886585133
65,12.9994,0.9945501905315807,1.4688782747310612e-06,129.994,-0.0061377962941543,0.4825120779220778,0.0774582870476177,0.0001185348437994
66,15.0389,0.9944826797637834,2.143176742369388e-06,150.38899999999998,-0.0053054324526497,0.4832061038961038,0.0771079941836385,0.0001177535729544
67,17.3983,0.9943433210250404,2.6370751774471866e-06,173.98299999999998,-0.0045859662592508,0.4837002397602398,0.0763082554009427,0.0001144570532328
68,20.1279,0.9941586555892877,3.1858888946589705e-06,201.279,-0.0039640562523272,0.4843664135864136,0.0762935497868764,0.0001165470963917
69,23.2857,0.9943852304800322,2.6460683188164284e-06,232.857,-0.0034264896838097,0.4847944855144855,0.0764739049761427,0.0001112445980808
70,26.9389,0.9941344850302976,4.43058179721501e-06,269.389,-0.0029618237135498,0.4851614385614385,0.0762849807135921,0.0001145224034307
71,31.1653,0.9942232062655773,2.9330336760104607e-06,311.653,-0.0025601652853341,0.4855037062937062,0.0766713867151829,0.0001129061919557
72,36.0547,0.994214426075674,3.576273085823973e-06,360.547,-0.0022129806594674,0.4859195504495504,0.0759108256179385,0.0001124357392149
73,41.7112,0.9943674633812446,3.5016484565008363e-06,417.112,-0.0019128766289846,0.486236973026973,0.0758493435236092,0.0001136857390221
74,48.2552,0.9942380030237881,3.3801031461498755e-06,482.552,-0.0016534673770256,0.4864126273726273,0.075961239859042,0.0001136711761149
75,55.8259,0.9941411911426812,2.8880418659715496e-06,558.2589999999999,-0.0014292364907834,0.4866635164835165,0.0758422732512243,0.0001149957143831
76,64.5842,0.994376581297561,2.498111077305137e-06,645.8419999999999,-0.0012354170865162,0.4868046953046954,0.0756979390040529,0.0001156116293596
77,74.7167,0.9943526050042987,2.7417230289155486e-06,747.167,-0.0010678795002944,0.486894995004995,0.0758147163326184,0.0001163852566194
78,86.4388,0.9941037245474404,3.161065725862747e-06,864.3879999999999,-0.0009230627713744,0.4870913986013985,0.0762657827886399,0.0001155343849855
79,100.0,0.9843002712944127,0.009756189998351074,1000.0,-0.0007978844278221,0.4872825674325673,0.0759012893200705,0.0001151785166756
