,stdWeights,<BH>,var(BH),sigma_star,balance,<A>,<var(A)>,var(<A>)
33,0.1226,0.11672275066619608,0.09136524912807378,1.226,-0.5853057693327919,0.0037936763236763,0.0008384087640631,6.714238840989183e-05
34,0.1419,0.3612762332676657,0.2046561586516308,1.4189999999999998,-0.519016515224879,0.0137103196803196,0.0049085788137936,0.0002710166673377
35,0.1641,0.6616581969366525,0.18825054830839277,1.6409999999999998,-0.457730404973411,0.0373052547452547,0.0198404882829458,0.0005949901474413
36,0.1899,0.7983558037239211,0.13136518844052483,1.899,-0.4015237067936949,0.0706817382617382,0.0528001351296056,0.0008391059469637
37,0.2197,0.8393672307751789,0.12217806831264832,2.197,-0.3510102786764392,0.1101595404595405,0.082676450702145,0.0006798166575781
38,0.2541,0.9286917333142485,0.05525842064405592,2.541,-0.3060836318705021,0.1463058041958042,0.0917183756902438,0.0006459776885231
39,0.294,0.932288062597843,0.05550010204513296,2.9399999999999995,-0.2662459287936297,0.1766126973026972,0.0914459318902875,0.0004945924663287
40,0.3401,0.953955898163545,0.03792744427163264,3.401,-0.2312659125814202,0.2034628071928072,0.0926681522673131,0.0004037813035886
41,0.3935,0.9621338045460708,0.02861652722618497,3.935,-0.2006045683646631,0.2270722977022977,0.0900195973856313,0.0004075340268054
42,0.4552,0.9784732075212035,0.009997440936341783,4.552,-0.1738824652804191,0.2497092307692308,0.0857913637012338,0.0003911381355072
43,0.5266,0.9355972594757758,0.046106526147099834,5.265999999999999,-0.1506105134934452,0.2699608991008991,0.0787170013203579,0.0004481462450241
44,0.6093,0.9128460750220114,0.06370152673014078,6.092999999999999,-0.130365498146058,0.2871402697302697,0.0710041801754688,0.0004372295408306
45,0.7049,0.892736305428969,0.07984613634136967,7.049,-0.1128126439073111,0.3019538861138861,0.0614460472793939,0.0004756561818744
46,0.8154,0.8750723462867467,0.09145969672331228,8.154,-0.0976071848038596,0.3138579020979021,0.0594338284891931,0.0004803023433333
47,0.9434,0.8494087559953892,0.10864278177249781,9.434,-0.0844173114063452,0.3262959540459541,0.0549999742914428,0.0004667950243238
48,1.0914,0.8603076088997232,0.1028847750760931,10.913999999999998,-0.0730043579327941,0.3357494205794205,0.0545761152932981,0.0004877483174379
49,1.2626,0.852309219046162,0.10939634612301496,12.626,-0.0631277657203553,0.3440468131868131,0.0543058161419,0.0004873561881878
50,1.4607,0.7801788775522945,0.15256759945189918,14.607,-0.0545807997750049,0.3512416883116883,0.0470483579357705,0.0003880789331199
51,1.6898,0.868274999379746,0.08496879147979311,16.898,-0.0471901463203058,0.3577850649350649,0.0429681509499491,0.0004160831244953
52,1.955,0.7781178975287301,0.15174215160431134,19.55,-0.0407947194157756,0.3638725274725274,0.0408313074937051,0.0003932090666376
53,2.2617,0.6769221935770277,0.19703756751776033,22.617,-0.0352665990035331,0.3690399800199799,0.0415675369385858,0.0004012884071169
54,2.6165,0.7610396379098249,0.15576873523939547,26.165,-0.030486923733238,0.3731838261738261,0.03828703200895,0.0003947040210837
55,3.027,0.7317825408080202,0.17081796147530215,30.27,-0.0263541279251804,0.3758455744255744,0.0376036448466618,0.0004008567236795
56,3.5019,0.7211172966945153,0.17460279361478942,35.019,-0.0227812369315893,0.3788401198801199,0.0396460224690394,0.0004315760282658
57,4.0513,0.7236850105837225,0.17532158232132694,40.513,-0.0196925319467447,0.3807615884115884,0.036293023998978,0.0004239325035479
58,4.6869,0.8122400366716849,0.12709103884364129,46.86899999999999,-0.0170224248099696,0.3830471428571428,0.0370157053336274,0.0004160875966929
