,stdWeights,<BH>,var(BH),sigma_star,balance,<A>,<var(A)>,var(<A>)
59,5.4222,0.7632282903998922,0.15242000312834172,54.222,-0.0147143102790082,0.3847092007992008,0.0357253879786547,0.0004144494584355
60,6.2729,0.7382492808681372,0.16443108026652495,62.729,-0.0127190098219283,0.386152927072927,0.0361354562719997,0.0004185393388565
61,7.257,0.7305055742370449,0.16990922897437524,72.57,-0.0109943407848368,0.3887004395604396,0.034658517346789,0.0004280977402022
62,8.3956,0.6989238463188024,0.1821909050640941,83.95599999999999,-0.0095033790910153,0.3904952447552448,0.0344411123741393,0.0004413342396388
63,9.7127,0.7440725370291807,0.16487552733856392,97.127,-0.0082147133609192,0.3914217582417583,0.0345728892086934,0.0004005633566509
64,11.2365,0.772646522573367,0.15263584945850076,112.365,-0.0071007344684167,0.3932993606393605,0.0349744783887441,0.0004192428179057
65,12.9994,0.7165442421863355,0.17263347936181056,129.994,-0.0061377962941543,0.3939331368631368,0.0353792283041633,0.00045520955776
66,15.0389,0.7255018570232566,0.16763550504398708,150.38899999999998,-0.0053054324526497,0.3946456043956043,0.0331700122055766,0.0004202727731683
67,17.3983,0.7841154608161964,0.14555331824523632,173.98299999999998,-0.0045859662592508,0.3953142557442558,0.0344313183120575,0.0004146633216185
68,20.1279,0.7462699962783788,0.16372349581675497,201.279,-0.0039640562523272,0.3965711388611389,0.0319061927283505,0.0004106892360445
69,23.2857,0.7372140897569291,0.16375991295116812,232.857,-0.0034264896838097,0.3969885814185814,0.0325837457248046,0.0004355144355795
70,26.9389,0.7305999806035266,0.1697200413407799,269.389,-0.0029618237135498,0.3973865734265734,0.0336608358474692,0.0004293168979655
71,31.1653,0.7590164127836192,0.15509486945772763,311.653,-0.0025601652853341,0.3978938461538461,0.0340455054036872,0.0004257412878953
72,36.0547,0.7220644051515644,0.17484983093113887,360.547,-0.0022129806594674,0.3979167332667332,0.0337238371618391,0.0004247944742445
73,41.7112,0.7769910652526594,0.14366870492917622,417.112,-0.0019128766289846,0.3984144555444555,0.0330619915748587,0.0004129760152465
74,48.2552,0.7193085501071836,0.1740030882406401,482.552,-0.0016534673770256,0.3983705494505494,0.0337002767262707,0.000423893065729
75,55.8259,0.7408933700953186,0.16534729173099674,558.2589999999999,-0.0014292364907834,0.3983784915084915,0.0340324136203456,0.0004341966682199
76,64.5842,0.7010732956604039,0.18326860550954,645.8419999999999,-0.0012354170865162,0.3983812387612388,0.0331406079035849,0.0004396535096428
77,74.7167,0.7359475129571708,0.17133837495560422,747.167,-0.0010678795002944,0.39847999000999,0.0331337321020637,0.0004367041791865
78,86.4388,0.6933090856984314,0.18814183713876262,864.3879999999999,-0.0009230627713744,0.3986694005994006,0.0331271281365986,0.0004375807287468
79,100.0,0.744787691582234,0.1668760907402433,1000.0,-0.0007978844278221,0.3988472127872127,0.0331313482920675,0.00043315981327
