,Unnamed: 0,stdWeights,<BH>,var(BH),<A>,var(A),sigma_star,balance
0,0,0.001,0.0,0.0,0.0,0.0,0.01,0.0
1,1,0.0012,0.0,0.0,0.0,0.0,0.011999999999999999,-2.1101712835646862e-150
2,2,0.0013,0.0,0.0,0.0,0.0,0.013,-7.722323846736764e-233
3,3,0.0015,0.0,0.0,0.0,0.0,0.015,-6.647997085004586e-149
4,4,0.0018,0.0,0.0,0.0,0.0,0.018,-3.4695623005800756e-49
5,5,0.0021,0.0,0.0,0.0,0.0,0.020999999999999998,-8.722256621027188e-11
6,6,0.0024,0.0,0.0,0.0,0.0,0.023999999999999997,-1.0000000000000004
7,7,0.0028,0.0,0.0,0.0,0.0,0.027999999999999997,-2.4756361644755163e-09
8,8,0.0032,0.0,0.0,0.0,0.0,0.032,-5.590098407950298e-18
9,9,0.0037,0.0,0.0,0.0,0.0,0.037,-2.2172220611456183e-09
10,10,0.0043,0.0,0.0,0.0,0.0,0.043,-1.0000000000000007
11,11,0.005,0.0,0.0,0.0,0.0,0.049999999999999996,-0.9999999999999998
12,12,0.0057,0.0,0.0,0.0,0.0,0.057,-1.0
13,13,0.0066,0.0,0.0,0.0,0.0,0.06599999999999999,-1.0000000000058367
14,14,0.0077,0.0,0.0,0.0,0.0,0.077,-1.0000000000000002
15,15,0.0089,0.0,0.0,0.0,0.0,0.089,-1.0000000000000002
16,16,0.0103,0.0,0.0,0.0,0.0,0.103,-1.0000000000000002
17,17,0.0119,0.0,0.0,0.0,0.0,0.11900000000000001,-1.0000000000000002
18,18,0.0138,0.0,0.0,0.0,0.0,0.13799999999999998,-0.999999999999572
19,19,0.0159,0.0,0.0,0.0,0.0,0.159,-0.9999999996811164
20,20,0.0184,0.0,0.0,0.0,0.0,0.184,-0.9999999451367214
21,21,0.0213,0.0,0.0,0.0,0.0,0.213,-0.9999973317888424
22,22,0.0247,0.0,0.0,0.0,0.0,0.247,-0.9999484713385274
23,23,0.0286,0.0,0.0,0.0,0.0,0.286,-0.9995286016839497
24,24,0.033,0.0,0.0,0.0,0.0,0.33,-0.9975569151728397
25,25,0.0382,0.0,0.0,0.0,0.0,0.38199999999999995,-0.991150161352996
26,26,0.0442,0.0,0.0,0.0,0.0,0.442,-0.9763299803271618
27,27,0.0512,0.0,0.0,0.0,0.0,0.512,-0.94919521470774
28,28,0.0592,0.0,0.0,3.000000000000001e-06,0.0,0.592,-0.9088168199188753
29,29,0.0685,0.0544199300367826,0.0464686669673593,4.2818181818181823e-05,6.729873523080316e-06,0.685,-0.855669800175008
30,30,0.0792,0.3703066524604817,0.2065827640620146,0.0012627052947052,0.0008983032132702,0.792,-0.793276474965162
31,31,0.0916,0.992795282683388,2.753697595617649e-06,0.0306054015984015,0.062445081637643,0.9159999999999999,-0.7250363588131389
32,32,0.106,0.994138262703719,3.933901915586514e-06,0.0674291028971028,0.0765482927462148,1.0599999999999998,-0.6545217273714535
33,33,0.1226,0.9941308976464616,3.705967497755858e-06,0.1015277332667332,0.0892205065823287,1.226,-0.5853057693327921
34,34,0.1419,0.9943514310396878,3.555855217184676e-06,0.1336923976023976,0.1012276755212819,1.4189999999999998,-0.5190165152248792
35,35,0.1641,0.9942075495870448,2.1123841334913683e-06,0.1642017002997003,0.1108470254580584,1.6409999999999998,-0.4577304049734112
36,36,0.1899,0.9940743349322722,2.672567333142145e-06,0.1933097252747252,0.119323417050482,1.899,-0.40152370679369515
37,37,0.2197,0.9944503921629618,2.330113306492756e-06,0.2210727532467532,0.1239296646709933,2.197,-0.35101027867643925
38,38,0.2541,0.9941141939026183,3.028006307088036e-06,0.2473681588411588,0.1270962918719643,2.541,-0.3060836318705021
39,39,0.294,0.9939254645978444,2.9129919574411117e-06,0.2722206313686314,0.1286924386562488,2.9399999999999995,-0.26624592879362985
40,40,0.3401,0.9945064658310132,1.8277336848230567e-06,0.2953612637362637,0.1261922943629795,3.401,-0.23126591258142026
41,41,0.3935,0.9941238992032256,2.5605856750334217e-06,0.316784967032967,0.1245025523068339,3.935,-0.20060456836466323
42,42,0.4552,0.9943279090513488,2.905769804970023e-06,0.336557883116883,0.1217722390396817,4.552,-0.17388246528041928
43,43,0.5266,0.9943568589696882,2.526774903665172e-06,0.3546375514485514,0.1189640394809984,5.265999999999999,-0.1506105134934454
44,44,0.6093,0.9942490832513424,2.1112789189348656e-06,0.371082953046953,0.1146326747598055,6.092999999999999,-0.1303654981460583
45,45,0.7049,0.9945080975376268,1.6284534619284203e-06,0.3859168701298701,0.1112351599130141,7.0489999999999995,-0.11281264390731138
46,46,0.8154,0.9944227959517468,2.4180236021860667e-06,0.3990783686313686,0.1086459557026391,8.154,-0.09760718480385988
47,47,0.9434,0.9944770265183672,2.2030905856920723e-06,0.4109827872127872,0.1054027317038605,9.434,-0.08441731140634567
48,48,1.0914,0.9943120128059164,2.681606179232777e-06,0.4215458131868131,0.1025140567584264,10.913999999999998,-0.07300435793279436
49,49,1.2626,0.9943236749045896,2.223504853269037e-06,0.4308093406593405,0.100676947717617,12.626,-0.06312776572035583
50,50,1.4607,0.9944351830293764,2.2727096356724457e-06,0.438942947052947,0.0972947736419424,14.607000000000001,-0.054580799775005406
51,51,1.6898,0.9943508875744014,3.016945755678741e-06,0.4462182857142858,0.094647961035967,16.898,-0.047190146320306214
52,52,1.955,0.9942788939194364,2.137755232365085e-06,0.4524098921078922,0.0937860047085781,19.55,-0.040794719415776226
53,53,2.2617,0.9941811624443864,2.974357486139752e-06,0.4579654915084915,0.0923938522037403,22.616999999999997,-0.03526659900353357
54,54,2.6165,0.9943920636005202,2.0613213826867183e-06,0.4627482727272726,0.0902550187035741,26.164999999999996,-0.030486923733238525
55,55,3.027,0.994053744628304,3.901713774946405e-06,0.4670017902097902,0.089025129927016,30.27,-0.026354127925180937
56,56,3.5019,0.994368322211278,3.008526415860165e-06,0.4706385624375626,0.0878310823142891,35.019,-0.0227812369315899
57,57,4.0513,0.9940940051586318,3.684156185439073e-06,0.4738292327672327,0.0871587451689169,40.513,-0.01969253194674514
58,58,4.6869,0.9942567763795348,3.7404409394795953e-06,0.4766503306693306,0.0864405022270436,46.86899999999999,-0.017022424809970182
59,59,5.4222,0.9941536007407852,3.521339986120497e-06,0.4791214265734265,0.0852257356529584,54.222,-0.014714310279008713
60,60,6.2729,0.9939329135374042,2.7651181351336388e-06,0.4812511598401599,0.0844818317027627,62.729,-0.012719009821928362
