,stdWeights,Irregular,Non-Trivial,Cyclic,No-Activity,Fix
0,0.001,0.0,0.0,0.0,0.0,1.0
1,0.0178,0.0,0.0,0.0,0.0,1.0
2,0.3162,0.0,0.0,0.5,0.0,0.5
3,100.0,1.0,0.0,0.0,0.0,0.0
4,5.6234,1.0,0.0,0.0,0.0,0.0
