,Unnamed: 0,stdWeights,<BH>,var(BH),<A>,var(A),sigma_star,balance
0,0,0.001,0.0,0.0,0.0,0.0,0.01,0.0
1,1,0.0012,0.0,0.0,0.0,0.0,0.011999999999999999,-2.1101712835646862e-150
2,2,0.0013,0.0,0.0,0.0,0.0,0.013,-7.722323846736764e-233
3,3,0.0015,0.0,0.0,0.0,0.0,0.015,-6.647997085004586e-149
4,4,0.0018,0.0,0.0,0.0,0.0,0.018,-3.4695623005800756e-49
5,5,0.0021,0.0,0.0,0.0,0.0,0.020999999999999998,-8.722256621027188e-11
6,6,0.0024,0.0,0.0,0.0,0.0,0.023999999999999997,-1.0000000000000004
7,7,0.0028,0.0,0.0,0.0,0.0,0.027999999999999997,-2.4756361644755163e-09
8,8,0.0032,0.0,0.0,0.0,0.0,0.032,-5.590098407950298e-18
9,9,0.0037,0.0,0.0,0.0,0.0,0.037,-2.2172220611456183e-09
10,10,0.0043,0.0,0.0,0.0,0.0,0.043,-1.0000000000000007
11,11,0.005,0.0,0.0,0.0,0.0,0.049999999999999996,-0.9999999999999998
12,12,0.0057,0.0,0.0,0.0,0.0,0.057,-1.0
13,13,0.0066,0.0,0.0,0.0,0.0,0.06599999999999999,-1.0000000000058367
14,14,0.0077,0.0,0.0,0.0,0.0,0.077,-1.0000000000000002
15,15,0.0089,0.0,0.0,0.0,0.0,0.089,-1.0000000000000002
16,16,0.0103,0.0,0.0,0.0,0.0,0.103,-1.0000000000000002
17,17,0.0119,0.0,0.0,0.0,0.0,0.11900000000000001,-1.0000000000000002
18,18,0.0138,0.0,0.0,0.0,0.0,0.13799999999999998,-0.999999999999572
19,19,0.0159,0.0,0.0,0.0,0.0,0.159,-0.9999999996811164
20,20,0.0184,0.0,0.0,0.0,0.0,0.184,-0.9999999451367214
21,21,0.0213,0.0,0.0,0.0,0.0,0.213,-0.9999973317888424
22,22,0.0247,0.0,0.0,0.0,0.0,0.247,-0.9999484713385274
23,23,0.0286,0.0,0.0,0.0,0.0,0.286,-0.9995286016839497
24,24,0.033,0.0,0.0,0.0,0.0,0.33,-0.9975569151728397
25,25,0.0382,0.0,0.0,0.0,0.0,0.38199999999999995,-0.991150161352996
26,26,0.0442,0.0,0.0,2.0000000000000008e-06,0.0,0.442,-0.9763299803271618
27,27,0.0512,0.0,0.0,4.0000000000000015e-06,0.0,0.512,-0.94919521470774
28,28,0.0592,0.0088812888322927,0.0078046925032681,1.26983016983017e-05,2.61007723545186e-06,0.592,-0.9088168199188753
29,29,0.0685,0.7901029095657939,0.1355438253360117,0.005088918081918,0.0162425518896687,0.685,-0.855669800175008
30,30,0.0792,0.9941317182397834,2.86962950614684e-06,0.0358522437562437,0.046129663225885,0.792,-0.793276474965162
31,31,0.0916,0.99442037846542,2.508977018199402e-06,0.0629430809190809,0.0596984790534141,0.9159999999999999,-0.7250363588131389
32,32,0.106,0.9942748969683416,2.1315285852592947e-06,0.0884845544455544,0.0748666547238974,1.0599999999999998,-0.6545217273714535
33,33,0.1226,0.9941360487458764,2.70442253055744e-06,0.1131852507492507,0.0914255036052858,1.226,-0.5853057693327921
34,34,0.1419,0.9945387606686308,2.341927166800718e-06,0.1374748591408591,0.107598381107404,1.4189999999999998,-0.5190165152248792
35,35,0.1641,0.9942631229138288,2.7833429468688024e-06,0.1613726583416583,0.1231498970040948,1.6409999999999998,-0.4577304049734112
36,36,0.1899,0.9943466331992136,2.7924620634719634e-06,0.1852162567432567,0.1357544933827411,1.899,-0.40152370679369515
37,37,0.2197,0.9942420777240722,2.919006894292076e-06,0.2088372907092907,0.1435247655880582,2.197,-0.35101027867643925
38,38,0.2541,0.9941962411307688,2.6523918859014856e-06,0.232030024975025,0.1462461465407719,2.541,-0.3060836318705021
39,39,0.294,0.9941777422333404,3.191574837123357e-06,0.2548432927072927,0.1492824872230663,2.9399999999999995,-0.26624592879362985
40,40,0.3401,0.9943173444317528,2.282846427835536e-06,0.2769023686313687,0.1463406790691827,3.401,-0.23126591258142026
41,41,0.3935,0.9945511474702232,1.8640496840649004e-06,0.2981303146853146,0.1430410590288833,3.935,-0.20060456836466323
42,42,0.4552,0.9944857256088468,2.8069848190737923e-06,0.3182457592407592,0.1387354408987613,4.552,-0.17388246528041928
43,43,0.5266,0.9944696077368368,2.1473413858768827e-06,0.3371512117882118,0.1358452005996003,5.265999999999999,-0.1506105134934454
44,44,0.6093,0.9946616840095814,1.6766158751045576e-06,0.3548024325674325,0.1323462756224793,6.092999999999999,-0.1303654981460583
45,45,0.7049,0.9938630498759624,3.609242758840572e-06,0.3710454915084915,0.1287645208497795,7.0489999999999995,-0.11281264390731138
46,46,0.8154,0.9945562630282072,2.213840421043631e-06,0.3858454365634365,0.1250080307364964,8.154,-0.09760718480385988
47,47,0.9434,0.9942320042640184,3.1745126216417763e-06,0.3993291678321678,0.1211200501915668,9.434,-0.08441731140634567
48,48,1.0914,0.9944391852745816,2.5684955216610565e-06,0.4114602067932068,0.1183664040974011,10.913999999999998,-0.07300435793279436
49,49,1.2626,0.9941733461285948,1.8781732309014565e-06,0.422267885114885,0.1147770388173265,12.626,-0.06312776572035583
50,50,1.4607,0.9943366259753036,2.419527248156355e-06,0.4318523636363636,0.1127715403856882,14.607000000000001,-0.054580799775005406
51,51,1.6898,0.9941810747915484,3.770035175582041e-06,0.440446914085914,0.1107202668979372,16.898,-0.047190146320306214
52,52,1.955,0.9944147094706196,2.377189917898288e-06,0.4480243716283716,0.1093416024914146,19.55,-0.040794719415776226
53,53,2.2617,0.9943438710754096,1.8958843079506427e-06,0.4546687222777222,0.1067471401944708,22.616999999999997,-0.03526659900353357
54,54,2.6165,0.9943542791723968,2.714463918254109e-06,0.4605208481518481,0.1052351102543809,26.164999999999996,-0.030486923733238525
55,55,3.027,0.9941451876187298,2.8483983712605e-06,0.465666925074925,0.1037150922304468,30.27,-0.026354127925180937
56,56,3.5019,0.9942746392803709,2.181832149160045e-06,0.4701788301698301,0.1032242921933211,35.019,-0.0227812369315899
57,57,4.0513,0.994145628865087,2.462457232666969e-06,0.4740928141858142,0.1013299741736784,40.513,-0.01969253194674514
58,58,4.6869,0.9942683303048774,2.571309681037815e-06,0.4774828721278721,0.1009878640660039,46.86899999999999,-0.017022424809970182
59,59,5.4222,0.9941544741309616,3.301559295296217e-06,0.4804165684315684,0.1004450801885427,54.222,-0.014714310279008713
60,60,6.2729,0.9944757662604916,2.725302818513983e-06,0.4829823286713287,0.0993336674234856,62.729,-0.012719009821928362
