,Unnamed: 0,stdWeights,<BH>,var(BH),<A>,var(A),sigma_star,balance
0,0,0.001,0.0,0.0,0.0,0.0,0.01,0.0
1,1,0.0012,0.0,0.0,0.0,0.0,0.011999999999999999,-2.1101712835646862e-150
2,2,0.0013,0.0,0.0,0.0,0.0,0.013,-7.722323846736764e-233
3,3,0.0015,0.0,0.0,0.0,0.0,0.015,-6.647997085004586e-149
4,4,0.0018,0.0,0.0,0.0,0.0,0.018,-3.4695623005800756e-49
5,5,0.0021,0.0,0.0,0.0,0.0,0.020999999999999998,-8.722256621027188e-11
6,6,0.0024,0.0,0.0,0.0,0.0,0.023999999999999997,-1.0000000000000004
7,7,0.0028,0.0,0.0,0.0,0.0,0.027999999999999997,-2.4756361644755163e-09
8,8,0.0032,0.0,0.0,0.0,0.0,0.032,-5.590098407950298e-18
9,9,0.0037,0.0,0.0,0.0,0.0,0.037,-2.2172220611456183e-09
10,10,0.0043,0.0,0.0,0.0,0.0,0.043,-1.0000000000000007
11,11,0.005,0.0,0.0,0.0,0.0,0.049999999999999996,-0.9999999999999998
12,12,0.0057,0.0,0.0,0.0,0.0,0.057,-1.0
13,13,0.0066,0.0,0.0,0.0,0.0,0.06599999999999999,-1.0000000000058367
14,14,0.0077,0.0,0.0,0.0,0.0,0.077,-1.0000000000000002
15,15,0.0089,0.0,0.0,0.0,0.0,0.089,-1.0000000000000002
16,16,0.0103,0.0,0.0,0.0,0.0,0.103,-1.0000000000000002
17,17,0.0119,0.0,0.0,0.0,0.0,0.11900000000000001,-1.0000000000000002
18,18,0.0138,0.0,0.0,0.0,0.0,0.13799999999999998,-0.999999999999572
19,19,0.0159,0.0,0.0,0.0,0.0,0.159,-0.9999999996811164
20,20,0.0184,0.0,0.0,0.0,0.0,0.184,-0.9999999451367214
21,21,0.0213,0.0,0.0,0.0,0.0,0.213,-0.9999973317888424
22,22,0.0247,0.0,0.0,0.0,0.0,0.247,-0.9999484713385274
23,23,0.0286,0.0,0.0,0.0,0.0,0.286,-0.9995286016839497
24,24,0.033,0.0,0.0,0.0,0.0,0.33,-0.9975569151728397
25,25,0.0382,0.0,0.0,0.0,0.0,0.38199999999999995,-0.991150161352996
26,26,0.0442,0.0,0.0,0.0,0.0,0.442,-0.9763299803271618
27,27,0.0512,0.0,0.0,0.0,0.0,0.512,-0.94919521470774
28,28,0.0592,0.0091826072757304,0.0083477073616495,4.667332667332667e-06,2.8913304477740045e-06,0.592,-0.9088168199188753
29,29,0.0685,0.0369145896282975,0.0327009776116506,0.0001116113886113,1.1877852417312956e-05,0.685,-0.855669800175008
30,30,0.0792,0.9708224689721828,0.0107718486569763,0.0136626833166833,0.0464514810923342,0.792,-0.793276474965162
31,31,0.0916,0.9938487018231826,2.984688790370152e-06,0.0488643536463536,0.0613104224387001,0.9159999999999999,-0.7250363588131389
32,32,0.106,0.9942591165763892,3.021852072425125e-06,0.0808493346653346,0.0754644428358854,1.0599999999999998,-0.6545217273714535
33,33,0.1226,0.9939911779705536,3.052356863884126e-06,0.1109235584415584,0.0890363555784874,1.226,-0.5853057693327921
34,34,0.1419,0.994166481621562,3.045137685053811e-06,0.139676056943057,0.1027385927878315,1.4189999999999998,-0.5190165152248792
35,35,0.1641,0.994284134235297,3.984765832948381e-06,0.167246993006993,0.1143870647354643,1.6409999999999998,-0.4577304049734112
36,36,0.1899,0.9946736565124022,1.8446467661523523e-06,0.1940531218781219,0.1227911144160534,1.899,-0.40152370679369515
37,37,0.2197,0.994437475792972,3.1650094623601305e-06,0.2200023796203795,0.129890267838056,2.197,-0.35101027867643925
38,38,0.2541,0.9941996544482538,2.778735149468526e-06,0.2449830559440559,0.1326872566155124,2.541,-0.3060836318705021
39,39,0.294,0.9946349310599244,2.246913295954531e-06,0.2688123686313686,0.1342023180316185,2.9399999999999995,-0.26624592879362985
40,40,0.3401,0.993960545678782,3.1848744812809107e-06,0.2913471718281719,0.1347734896751599,3.401,-0.23126591258142026
41,41,0.3935,0.9942277511058152,2.270155921305095e-06,0.3125235344655344,0.1323153734018231,3.935,-0.20060456836466323
42,42,0.4552,0.9941552834280434,3.000557492775521e-06,0.3322474955044955,0.1292795088867175,4.552,-0.17388246528041928
43,43,0.5266,0.9943132509294244,3.589137742048714e-06,0.3505801538461539,0.126158872697732,5.265999999999999,-0.1506105134934454
44,44,0.6093,0.9942594007994108,2.773906331821588e-06,0.3673259040959041,0.1215115598866666,6.092999999999999,-0.1303654981460583
45,45,0.7049,0.9943393701604794,3.072445378667329e-06,0.3824995894105894,0.1193059339661336,7.0489999999999995,-0.11281264390731138
46,46,0.8154,0.99391054349136,4.102699225669549e-06,0.3962364555444556,0.116107524351772,8.154,-0.09760718480385988
47,47,0.9434,0.9945370786618308,1.7498523147501408e-06,0.4086887252747253,0.1115237484493527,9.434,-0.08441731140634567
48,48,1.0914,0.9943472230043698,2.304281053438692e-06,0.4196467822177822,0.1101796360482674,10.913999999999998,-0.07300435793279436
49,49,1.2626,0.9944276424893468,2.1944368071345333e-06,0.429403984015984,0.1074249548094263,12.626,-0.06312776572035583
50,50,1.4607,0.9942565501687765,3.330548739157875e-06,0.4380421198801199,0.1049125351930786,14.607000000000001,-0.054580799775005406
51,51,1.6898,0.9942936687854068,2.022177894100436e-06,0.4456810739260738,0.102462807468256,16.898,-0.047190146320306214
52,52,1.955,0.9944711377296056,2.999497943593702e-06,0.4524475024975025,0.1004131180907005,19.55,-0.040794719415776226
53,53,2.2617,0.9942455827762556,2.96255541717394e-06,0.4583863006993007,0.0991274690763781,22.616999999999997,-0.03526659900353357
54,54,2.6165,0.9938912868787176,3.7888150289735114e-06,0.4635412517482517,0.097994140928003,26.164999999999996,-0.030486923733238525
55,55,3.027,0.9941948382738068,5.574582083868281e-06,0.4680702407592407,0.095761078304313,30.27,-0.026354127925180937
56,56,3.5019,0.994152704245463,4.6920675193866485e-06,0.4719544235764236,0.0954899353493659,35.019,-0.0227812369315899
57,57,4.0513,0.9944173024767664,2.365986206344454e-06,0.4754171578421578,0.0945811439469621,40.513,-0.01969253194674514
58,58,4.6869,0.9943041254868256,2.1584655038821663e-06,0.4784493716283717,0.0938121312872941,46.86899999999999,-0.017022424809970182
59,59,5.4222,0.9943263486081022,2.7832004631376416e-06,0.4810472597402597,0.0929767882267582,54.222,-0.014714310279008713
60,60,6.2729,0.9944227027367352,2.1460939158252804e-06,0.4833105784215785,0.0917624799675848,62.729,-0.012719009821928362
