,K,delay,N,<C>
93,1.0,-2.0,10000.0,0.9669037748920492
94,1.0,-2.0,10000.0,0.961404871857979
95,1.0,-2.0,10000.0,0.9214637814578324
96,1.0,-2.0,10000.0,0.9432441818839952
97,1.0,-2.0,10000.0,0.9713329764918106
98,1.0,-2.0,10000.0,0.9521248665449862
99,1.0,-2.0,10000.0,0.9546766373493436
100,2.0,-18.0,10000.0,0.0058723555650669
101,2.0,-18.0,10000.0,0.002800149855792
102,2.0,-18.0,10000.0,-0.0024104312097327
103,2.0,-18.0,10000.0,-0.0242940915208669
104,2.0,-18.0,10000.0,-0.0054395154251375
105,2.0,-18.0,10000.0,0.0309262875570275
106,2.0,-18.0,10000.0,0.0235965636063411
107,2.0,-18.0,10000.0,0.0095037051818729
108,2.0,-18.0,10000.0,0.0523406204834848
109,2.0,-18.0,10000.0,0.0927093747707482
110,2.0,-18.0,10000.0,0.1526284031059363
111,2.0,-18.0,10000.0,0.1117618279193881
112,2.0,-18.0,10000.0,0.1204722385058579
113,2.0,-18.0,10000.0,0.008379624708701
114,2.0,-18.0,10000.0,0.0075805372620807
115,2.0,-18.0,10000.0,-0.0004428180554727
116,2.0,-18.0,10000.0,0.1373939264370888
117,2.0,-18.0,10000.0,0.017707082997357
118,2.0,-18.0,10000.0,-0.0014655982263682
119,2.0,-18.0,10000.0,-0.0072128881989067
120,2.0,-14.0,10000.0,0.0087337946747343
121,2.0,-14.0,10000.0,0.0112624262922981
122,2.0,-14.0,10000.0,-0.006532857768816
123,2.0,-14.0,10000.0,0.015491473277313
124,2.0,-14.0,10000.0,0.0487142944209538
125,2.0,-14.0,10000.0,0.1427536818533261
126,2.0,-14.0,10000.0,0.0363623296355985
127,2.0,-14.0,10000.0,0.0507307720434118
128,2.0,-14.0,10000.0,0.0721659545047934
129,2.0,-14.0,10000.0,0.2338181409857143
130,2.0,-14.0,10000.0,0.1710190572108007
131,2.0,-14.0,10000.0,0.2363204666269593
132,2.0,-14.0,10000.0,0.1684230269286965
133,2.0,-14.0,10000.0,0.0277873894454495
134,2.0,-14.0,10000.0,0.01272095107345
135,2.0,-14.0,10000.0,0.2117094953873114
136,2.0,-14.0,10000.0,0.2907909839945219
137,2.0,-14.0,10000.0,0.0419327229302524
138,2.0,-14.0,10000.0,0.0243281890663898
139,2.0,-14.0,10000.0,0.0064124417869039
140,2.0,-10.0,10000.0,0.2659096100736041
141,2.0,-10.0,10000.0,0.354874495123367
142,2.0,-10.0,10000.0,0.3366912400800004
143,2.0,-10.0,10000.0,0.3124299478845886
144,2.0,-10.0,10000.0,0.3329646001185461
145,2.0,-10.0,10000.0,0.4342423459051059
146,2.0,-10.0,10000.0,0.2119105197304018
147,2.0,-10.0,10000.0,0.2907435849562971
148,2.0,-10.0,10000.0,0.368905846366772
149,2.0,-10.0,10000.0,0.440313630863925
150,2.0,-10.0,10000.0,0.6965134930279575
151,2.0,-10.0,10000.0,0.4740382806971038
152,2.0,-10.0,10000.0,0.2934583843449857
153,2.0,-10.0,10000.0,0.2790416003193414
154,2.0,-10.0,10000.0,0.6263019400823289
155,2.0,-10.0,10000.0,0.146483718334251
156,2.0,-10.0,10000.0,0.589553368747185
157,2.0,-10.0,10000.0,0.3351898775021376
158,2.0,-10.0,10000.0,0.359404616859558
159,2.0,-10.0,10000.0,0.2355223128687664
160,2.0,-6.0,10000.0,0.9022435881636678
161,2.0,-6.0,10000.0,0.862970278899134
162,2.0,-6.0,10000.0,0.8249279396970264
163,2.0,-6.0,10000.0,0.8446958262859713
164,2.0,-6.0,10000.0,0.8908617038406212
165,2.0,-6.0,10000.0,0.769315619693846
166,2.0,-6.0,10000.0,0.8489036259020271
167,2.0,-6.0,10000.0,0.8875497156449681
168,2.0,-6.0,10000.0,0.859530836081032
169,2.0,-6.0,10000.0,0.894842298433719
170,2.0,-6.0,10000.0,0.9225815714108556
171,2.0,-6.0,10000.0,0.8944107433977765
172,2.0,-6.0,10000.0,0.884276037720818
173,2.0,-6.0,10000.0,0.8040142086046445
174,2.0,-6.0,10000.0,0.9170364832573288
175,2.0,-6.0,10000.0,0.8208436286072958
176,2.0,-6.0,10000.0,0.9132533306380184
177,2.0,-6.0,10000.0,0.9127722000484146
178,2.0,-6.0,10000.0,0.8667972566044011
179,2.0,-6.0,10000.0,0.8244924884961005
180,2.0,-2.0,10000.0,0.991436984477007
181,2.0,-2.0,10000.0,0.9918950653974936
182,2.0,-2.0,10000.0,0.9894817223775604
183,2.0,-2.0,10000.0,0.9931972680989
184,2.0,-2.0,10000.0,0.9881386912759156
185,2.0,-2.0,10000.0,0.9880405067092684
186,2.0,-2.0,10000.0,0.9915949889656848
187,2.0,-2.0,10000.0,0.9905261651468612
188,2.0,-2.0,10000.0,0.987728782307926
189,2.0,-2.0,10000.0,0.9900664932474662
190,2.0,-2.0,10000.0,0.9881450965924004
191,2.0,-2.0,10000.0,0.9940923394766374
192,2.0,-2.0,10000.0,0.9910255497802924
193,2.0,-2.0,10000.0,0.9857693403151904
194,2.0,-2.0,10000.0,0.9931057657518488
195,2.0,-2.0,10000.0,0.9900886906228422
196,2.0,-2.0,10000.0,0.9915368263446328
197,2.0,-2.0,10000.0,0.9927040300205752
198,2.0,-2.0,10000.0,0.9908218021916316
