,K,delay,N,<C>
76,1.0,-6.0,10000.0,0.0359793624990598
77,1.0,-6.0,10000.0,0.0381128945906945
78,1.0,-6.0,10000.0,0.2008364040770866
79,1.0,-6.0,10000.0,0.0341907990228318
80,1.0,-2.0,10000.0,0.7852843207311471
81,1.0,-2.0,10000.0,0.8024751661417137
82,1.0,-2.0,10000.0,0.6760637119832378
83,1.0,-2.0,10000.0,0.8801859551964453
84,1.0,-2.0,10000.0,0.7368131704670657
85,1.0,-2.0,10000.0,0.7788483702863671
86,1.0,-2.0,10000.0,0.769116053632161
87,1.0,-2.0,10000.0,0.8093309103292148
88,1.0,-2.0,10000.0,0.7304320879393288
89,1.0,-2.0,10000.0,0.4986341231595231
90,1.0,-2.0,10000.0,0.7258015582481236
91,1.0,-2.0,10000.0,0.7427752453039159
92,1.0,-2.0,10000.0,0.8439237159646679
93,1.0,-2.0,10000.0,0.6493605344917369
94,1.0,-2.0,10000.0,0.7918854311767212
95,1.0,-2.0,10000.0,0.8553194241191404
96,1.0,-2.0,10000.0,0.7478817646277732
97,1.0,-2.0,10000.0,0.6763627968935595
98,1.0,-2.0,10000.0,0.6528156277090515
99,1.0,-2.0,10000.0,0.524452532155654
100,2.0,-18.0,10000.0,-0.0078036757840481
101,2.0,-18.0,10000.0,0.032589324375162
102,2.0,-18.0,10000.0,-0.0098714729658251
103,2.0,-18.0,10000.0,-0.0055658434856759
104,2.0,-18.0,10000.0,0.0155496960944456
105,2.0,-18.0,10000.0,0.1633979069077804
106,2.0,-18.0,10000.0,-0.0097209133616063
107,2.0,-18.0,10000.0,0.1332842094755685
108,2.0,-18.0,10000.0,0.1275425580762121
109,2.0,-18.0,10000.0,0.1204334816398893
110,2.0,-18.0,10000.0,-0.0045259525730506
111,2.0,-18.0,10000.0,0.0868051091364069
112,2.0,-18.0,10000.0,0.0049176638161925
113,2.0,-18.0,10000.0,6.078851118965917e-05
114,2.0,-18.0,10000.0,0.0180542822656933
115,2.0,-18.0,10000.0,-0.004023928786963
116,2.0,-18.0,10000.0,0.1286796159992009
117,2.0,-18.0,10000.0,0.1634204188387805
118,2.0,-18.0,10000.0,0.0010129534750001
119,2.0,-18.0,10000.0,0.0072026851765155
120,2.0,-14.0,10000.0,0.0580840397804201
121,2.0,-14.0,10000.0,0.0107858021444951
122,2.0,-14.0,10000.0,0.0391441726677426
123,2.0,-14.0,10000.0,0.0032626545012196
124,2.0,-14.0,10000.0,0.0947293117589242
125,2.0,-14.0,10000.0,0.02797811015427
126,2.0,-14.0,10000.0,0.0407995135020761
127,2.0,-14.0,10000.0,0.2517669589053482
128,2.0,-14.0,10000.0,0.1396069634459167
129,2.0,-14.0,10000.0,0.164562181400908
130,2.0,-14.0,10000.0,0.0068507183930271
131,2.0,-14.0,10000.0,0.0880580073023823
132,2.0,-14.0,10000.0,0.0202819721994301
133,2.0,-14.0,10000.0,-0.0080850920703054
134,2.0,-14.0,10000.0,0.1420575394136876
135,2.0,-14.0,10000.0,0.0550821277143517
136,2.0,-14.0,10000.0,0.2911406589950876
137,2.0,-14.0,10000.0,0.004382482058908
138,2.0,-14.0,10000.0,0.0001614195839364
139,2.0,-14.0,10000.0,0.171433025184896
140,2.0,-10.0,10000.0,0.1838449592438578
141,2.0,-10.0,10000.0,0.2092939797816099
142,2.0,-10.0,10000.0,0.2152765019236178
143,2.0,-10.0,10000.0,0.0463305049058662
144,2.0,-10.0,10000.0,0.295887841071887
145,2.0,-10.0,10000.0,0.219423344218393
146,2.0,-10.0,10000.0,0.1926470467787355
147,2.0,-10.0,10000.0,0.3599996828532138
148,2.0,-10.0,10000.0,0.0361945422999963
149,2.0,-10.0,10000.0,0.143773328598272
150,2.0,-10.0,10000.0,0.374150535349596
151,2.0,-10.0,10000.0,0.2978637172533553
152,2.0,-10.0,10000.0,0.2493505436997695
153,2.0,-10.0,10000.0,0.1115581625412229
154,2.0,-10.0,10000.0,0.3206116472468292
155,2.0,-10.0,10000.0,0.1067991948975338
156,2.0,-10.0,10000.0,0.4419121976658878
157,2.0,-10.0,10000.0,0.0239888842936967
158,2.0,-10.0,10000.0,0.1861983185150279
159,2.0,-10.0,10000.0,0.5675879901251744
160,2.0,-6.0,10000.0,0.656015049670259
161,2.0,-6.0,10000.0,0.6267134090489359
162,2.0,-6.0,10000.0,0.606602836078003
163,2.0,-6.0,10000.0,0.6002200821296512
164,2.0,-6.0,10000.0,0.6958737243948071
165,2.0,-6.0,10000.0,0.7509144915757094
166,2.0,-6.0,10000.0,0.5091915938783109
167,2.0,-6.0,10000.0,0.6594363002352709
168,2.0,-6.0,10000.0,0.3445652558144491
169,2.0,-6.0,10000.0,0.623077220938127
170,2.0,-6.0,10000.0,0.6348318442340263
171,2.0,-6.0,10000.0,0.6489735564537765
172,2.0,-6.0,10000.0,0.4819091853396701
173,2.0,-6.0,10000.0,0.5447726357369813
174,2.0,-6.0,10000.0,0.7333136887811326
175,2.0,-6.0,10000.0,0.7161741213431534
176,2.0,-6.0,10000.0,0.6673554553386345
177,2.0,-6.0,10000.0,0.4881529567289723
